N_past	N_present	Generations	Stat	Seed
9809	7897	9016	0.497466374193336	3
5069	7834	1790	0.498893179603084	4
4285	20511	12253	0.506027206651823	5
6168	7528	6250	0.503886998537201	8
10146	15271	6216	0.490332347144597	9
14010	28382	1026	0.466834689501541	2
12262	3801	2243	0.496039568783588	28
6948	5505	11401	0.508167414766445	21
1347	18060	5766	0.512447830995688	29
12690	12452	13920	0.4846551150461	25
6372	23442	13859	0.499606582307958	24
15487	301	1941	0.508167414766445	31
7099	1368	2469	0.508880817471319	32
7962	21349	11591	0.492472555259219	27
4849	25638	14721	0.501033387717706	23
2012	5485	441	0.503886998537201	36
5580	9444	10458	0.498893179603084	33
11089	9089	12396	0.499606582307958	35
11800	8766	9696	0.488198147711914	34
13899	10577	7129	0.494618772055779	38
26579	8932	4838	0.488222125577736	30
20014	11273	1600	0.48750277404559	37
2399	29832	4075	0.499606582307958	22
14955	24587	3421	0.466876771224247	26
11942	29776	11343	0.481064120663175	20
9474	731	11506	0.503886998537201	43
13786	4554	8095	0.501746790422579	45
17140	6793	8979	0.488192139029975	44
10436	9081	2260	0.498893179603084	48
10986	6342	3880	0.498185785580149	41
2602	14653	6653	0.512447830995688	46
3748	10576	509	0.502460193127453	42
2401	8209	4809	0.480344709276362	3
1639	12727	9929	0.498893179603084	1
33930	14223	735	0.350002544578142	2
3295	2349	8462	0.486051930915354	7
1514	2051	7764	0.502460193127453	28
34203	2192	307	0.47677864299523	22
2384	1638	5149	0.486765333620227	4
5506	5663	1801	0.46893026599838	9
15710	3122	2667	0.446113396806292	26
1481	10569	8477	0.503886998537201	14
35102	275	9568	0.361224423753569	15
7289	4410	390	0.473924084932497	30
1045	1776	5107	0.506027206651823	31
2595	10311	8893	0.488905541734849	13
3787	7260	5420	0.478204501161741	16
8212	6491	7515	0.439680755098549	10
1328	3284	3941	0.508167414766445	32
1834	10378	8255	0.489618944439723	21
7536	5254	10983	0.447528184852162	29
1948	9956	4349	0.491759152554345	18
5746	9897	8663	0.460369433539893	12
5294	8441	12015	0.462509641654515	11
10554	474	3575	0.473222702584234	42
12348	1466	8032	0.434686936164432	37
4069	3538	2158	0.486765333620227	41
2165	5843	2536	0.483198320095858	39
7537	2066	9250	0.451095198376532	48
3654	6510	5898	0.46893026599838	47
1278	6258	1437	0.491759152554345	49
4504	8176	11206	0.487478736325101	44
10555	6493	9416	0.431128547057213	38
6253	4067	8286	0.46893026599838	50
7021	8828	10963	0.441820963213171	34
9930	11153	10338	0.412574068048552	5
2303	14438	1642	0.467503460588632	8
6844	12120	12486	0.436827144279054	17
4009	13909	10965	0.463945221290617	25
2721	7372	1064	0.468216863293506	45
2451	7583	2105	0.487478736325101	51
1151	10474	1871	0.488905541734849	43
7552	11283	9715	0.446814782147289	35
3355	14750	12470	0.473924084932497	36
8179	9521	10621	0.430406519935189	33
29018	2149	7229	0.391211384056962	54
