"V1","V2","V3","V4","V5"
6.05,0.05,0.05,0.05,0.05
16.05,0.05,0.05,0.05,0.05
12.05,0.05,0.05,0.05,0.05
18.05,0.05,0.05,0.05,0.05
7.05,5.05,0.05,0.05,0.05
13.05,12.05,0.05,0.05,0.05
16.05,21.05,0.05,0.05,0.05
9.05,14.05,0.05,0.05,0.05
19.05,12.05,0.05,0.05,0.05
20.05,23.05,0.05,0.05,0.05
22.05,14.05,0.05,0.05,0.05
16.05,27.05,0.05,0.05,0.05
32.05,25.05,0.05,0.05,0.05
29.05,24.05,0.05,0.05,0.05
31.05,42.05,0.05,0.05,0.05
38.05,36.05,0.05,0.05,0.05
71.05,58.05,0.05,0.05,0.05
72.05,95.05,0.05,0.05,0.05
144.05,129.05,0.05,0.05,0.05
1049.05,1103.05,1640.05,1640.05,1640.05
398360.05,398360.05,398360.05,398360.05,398360.05
