"V1","V2","V3","V4","V5","V6","V7","V8"
20,19,7,0,0,0,0,0
8,8,17,0,0,0,0,0
7,8,10,0,0,0,0,0
9,8,4,1,0,0,0,0
22,23,22,13,0,0,0,0
14,14,13,14,0,0,0,0
23,21,22,9,0,0,0,0
18,20,24,15,0,0,0,0
14,14,14,24,0,0,0,0
14,14,13,29,0,0,0,0
20,20,23,23,0,0,0,0
30,30,26,15,0,0,0,0
30,30,31,27,0,0,0,0
33,33,36,34,3,0,0,0
46,46,44,48,15,0,0,0
47,47,45,46,49,0,0,0
63,63,63,72,69,0,0,0
101,100,95,94,95,0,0,0
199,200,205,175,161,62,0,0
476,476,480,555,802,1132,1194,1194
198806,198806,198806,198806,198806,198806,198806,198806
