"V1","V2","V3","V4","V5","V6","V7","V8"
1e-04,9.5e-05,3.5e-05,0,0,0,0,0
4e-05,4e-05,8.5e-05,0,0,0,0,0
3.5e-05,4e-05,5e-05,0,0,0,0,0
4.5e-05,4e-05,2e-05,5e-06,0,0,0,0
0.00011,0.000115,0.00011,6.5e-05,0,0,0,0
7e-05,7e-05,6.5e-05,7e-05,0,0,0,0
0.000115,0.000105,0.00011,4.5e-05,0,0,0,0
9e-05,1e-04,0.00012,7.5e-05,0,0,0,0
7e-05,7e-05,7e-05,0.00012,0,0,0,0
7e-05,7e-05,6.5e-05,0.000145,0,0,0,0
1e-04,1e-04,0.000115,0.000115,0,0,0,0
0.00015,0.00015,0.00013,7.5e-05,0,0,0,0
0.00015,0.00015,0.000155,0.000135,0,0,0,0
0.000165,0.000165,0.00018,0.00017,1.5e-05,0,0,0
0.00023,0.00023,0.00022,0.00024,7.5e-05,0,0,0
0.000235,0.000235,0.000225,0.00023,0.000245,0,0,0
0.000315,0.000315,0.000315,0.00036,0.000345,0,0,0
0.000505,5e-04,0.000475,0.00047,0.000475,0,0,0
0.000995,0.001,0.001025,0.000875,0.000805,0.00031,0,0
0.00238,0.00238,0.0024,0.002775,0.00401,0.00566,0.00597,0.00597
0.99403,0.99403,0.99403,0.99403,0.99403,0.99403,0.99403,0.99403
