"V1","V2","V3","V4","V5","V6","V7","V8"
42,41,19,0,0,0,0,0
45,39,35,0,0,0,0,0
62,64,61,0,0,0,0,0
66,66,69,1,0,0,0,0
63,67,61,24,0,0,0,0
86,85,85,51,0,0,0,0
65,63,71,84,0,0,0,0
78,82,81,75,0,0,0,0
72,72,69,111,0,0,0,0
100,98,91,94,0,0,0,0
119,121,124,91,0,0,0,0
94,93,110,111,0,0,0,0
124,124,111,136,0,0,0,0
149,150,145,134,0,0,0,0
156,155,161,177,33,0,0,0
216,216,214,208,204,0,0,0
288,286,298,275,303,0,0,0
431,431,418,423,398,0,0,0
777,779,787,748,722,7,0,0
2553,2554,2576,2843,3926,5579,5586,5586
160757,160757,160757,160757,160757,160757,160757,160757
