"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3.98522044099269e-06,3.98522044099269e-06,3.98522044099269e-06,0,0,0,0,0
"2",2.50921287025465e-06,2.50921287025465e-06,2.50921287025465e-06,0,0,0,0,0
"3",1.32840681366423e-06,1.32840681366423e-06,1.32840681366423e-06,0,0,0,0,0
"4",1.62360832781183e-06,1.62360832781183e-06,1.62360832781183e-06,0,0,0,0,0
"5",1.77120908488564e-06,1.77120908488564e-06,1.77120908488564e-06,1.62360832781183e-06,0,0,0,0
"6",1.32840681366423e-06,1.32840681366423e-06,1.32840681366423e-06,2.50921287025465e-06,0,0,0,0
"7",2.80441438440226e-06,2.80441438440226e-06,2.80441438440226e-06,2.65681362732846e-06,0,0,0,0
"8",2.21401135610705e-06,2.21401135610705e-06,2.21401135610705e-06,1.47600757073803e-06,0,0,0,0
"9",1.47600757073803e-06,1.47600757073803e-06,1.47600757073803e-06,2.95201514147606e-06,0,0,0,0
"10",2.21401135610705e-06,2.21401135610705e-06,2.21401135610705e-06,2.21401135610705e-06,0,0,0,0
"11",2.36161211318085e-06,2.36161211318085e-06,2.36161211318085e-06,3.69001892684508e-06,0,0,0,0
"12",3.39481741269747e-06,3.39481741269747e-06,3.39481741269747e-06,2.80441438440226e-06,0,0,0,0
"13",4.7232242263617e-06,4.7232242263617e-06,4.7232242263617e-06,2.21401135610705e-06,0,0,0,0
"14",4.28042195514029e-06,4.28042195514029e-06,4.28042195514029e-06,3.98522044099269e-06,0,0,0,0
"15",5.90403028295213e-06,5.90403028295213e-06,5.90403028295213e-06,5.75642952587832e-06,0,0,0,0
"16",7.08483633954255e-06,7.08483633954255e-06,7.08483633954255e-06,5.16602649758311e-06,0,0,0,0
"17",1.09224560234614e-05,1.09224560234614e-05,1.09224560234614e-05,1.00368514810186e-05,0,0,0,0
"18",1.59408817639707e-05,1.59408817639707e-05,1.59408817639707e-05,1.63836840351922e-05,0,0,0,0
"19",3.11437597425725e-05,3.11437597425725e-05,3.11437597425725e-05,3.21769650420891e-05,7.52763861076396e-06,0,0,0
"20",0.000172250083505128,0.000172250083505128,0.000172250083505128,0.000183615341799811,0.000271732993772872,0.000279260632383636,0.000279260632383636,0.000279260632383636
"21",0.999720739367616,0.999720739367616,0.999720739367616,0.999720739367616,0.999720739367616,0.999720739367616,0.999720739367616,0.999720739367616
