"V1","V2","V3","V4","V5","V6","V7","V8"
938.05,938.05,938.05,0.05,0.05,0.05,0.05,0.05
463.05,463.05,463.05,2.05,0.05,0.05,0.05,0.05
376.05,376.05,375.05,148.05,0.05,0.05,0.05,0.05
363.05,363.05,364.05,636.05,0.05,0.05,0.05,0.05
405.05,405.05,405.05,609.05,0.05,0.05,0.05,0.05
370.05,370.05,370.05,443.05,0.05,0.05,0.05,0.05
382.05,382.05,382.05,482.05,0.05,0.05,0.05,0.05
451.05,451.05,451.05,461.05,0.05,0.05,0.05,0.05
453.05,453.05,453.05,446.05,0.05,0.05,0.05,0.05
484.05,484.05,484.05,524.05,0.05,0.05,0.05,0.05
599.05,599.05,598.05,534.05,0.05,0.05,0.05,0.05
668.05,668.05,667.05,659.05,0.05,0.05,0.05,0.05
792.05,792.05,794.05,758.05,0.05,0.05,0.05,0.05
926.05,926.05,925.05,886.05,0.05,0.05,0.05,0.05
1183.05,1183.05,1184.05,1085.05,3.05,0.05,0.05,0.05
1605.05,1605.05,1603.05,1504.05,346.05,0.05,0.05,0.05
2190.05,2190.05,2191.05,2086.05,1920.05,0.05,0.05,0.05
3267.05,3267.05,3268.05,3239.05,2171.05,0.05,0.05,0.05
6282.05,6282.05,6281.05,6120.05,4152.05,0.05,0.05,0.05
58551.05,58551.05,58552.05,60126.05,72156.05,80748.05,80748.05,80748.05
18798314.95,18798314.95,18798314.95,18798314.95,18798314.95,18798314.95,18798314.95,18798314.95
