"V1","V2","V3","V4","V5","V6","V7","V8"
13.05,13.05,10.05,0.05,0.05,0.05,0.05,0.05
12.05,11.05,14.05,3.05,0.05,0.05,0.05,0.05
16.05,16.05,13.05,15.05,0.05,0.05,0.05,0.05
12.05,13.05,14.05,10.05,0.05,0.05,0.05,0.05
23.05,20.05,18.05,20.05,0.05,0.05,0.05,0.05
22.05,25.05,26.05,14.05,0.05,0.05,0.05,0.05
16.05,16.05,19.05,27.05,0.05,0.05,0.05,0.05
26.05,25.05,21.05,24.05,0.05,0.05,0.05,0.05
17.05,18.05,21.05,22.05,0.05,0.05,0.05,0.05
18.05,18.05,18.05,21.05,0.05,0.05,0.05,0.05
25.05,24.05,23.05,21.05,19.05,0.05,0.05,0.05
29.05,30.05,31.05,30.05,34.05,0.05,0.05,0.05
31.05,31.05,31.05,33.05,34.05,0.05,0.05,0.05
47.05,46.05,45.05,42.05,46.05,0.05,0.05,0.05
43.05,44.05,43.05,45.05,37.05,0.05,0.05,0.05
73.05,71.05,72.05,64.05,54.05,0.05,0.05,0.05
110.05,112.05,108.05,104.05,88.05,0.05,0.05,0.05
192.05,191.05,194.05,174.05,108.05,4.05,0.05,0.05
624.05,622.05,613.05,582.05,317.05,165.05,0.05,0.05
3967.05,3970.05,3982.05,4065.05,4579.05,5147.05,5316.05,5316.05
6769716.95,6769716.95,6769716.95,6769716.95,6769716.95,6769716.95,6769716.95,6769716.95
