"V1","V2","V3","V4","V5","V6","V7","V8"
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1.05,1.05,0.05,0.05,0.05,0.05,0.05,0.05
3.05,3.05,3.05,0.05,0.05,0.05,0.05,0.05
4.05,4.05,3.05,1.05,0.05,0.05,0.05,0.05
1.05,1.05,3.05,3.05,0.05,0.05,0.05,0.05
4.05,4.05,3.05,5.05,0.05,0.05,0.05,0.05
2.05,2.05,3.05,1.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,5.05,0.05,0.05,0.05,0.05
1.05,1.05,1.05,0.05,0.05,0.05,0.05,0.05
4.05,3.05,3.05,2.05,0.05,0.05,0.05,0.05
7.05,8.05,8.05,5.05,3.05,0.05,0.05,0.05
10.05,10.05,10.05,8.05,6.05,0.05,0.05,0.05
10.05,10.05,9.05,11.05,5.05,0.05,0.05,0.05
19.05,19.05,17.05,9.05,2.05,0.05,0.05,0.05
32.05,32.05,34.05,33.05,11.05,0.05,0.05,0.05
53.05,53.05,49.05,42.05,19.05,0.05,0.05,0.05
133.05,133.05,132.05,122.05,63.05,1.05,0.05,0.05
543.05,543.05,542.05,478.05,183.05,30.05,0.05,0.05
6303.05,6303.05,6310.05,6405.05,6838.05,7099.05,7130.05,7130.05
6767902.95,6767902.95,6767902.95,6767902.95,6767902.95,6767902.95,6767902.95,6767902.95
