"V1","V2","V3","V4","V5","V6","V7","V8"
7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
1.54980794927493e-07,1.54980794927493e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
4.501823090751e-07,4.501823090751e-07,4.501823090751e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
5.97783066148903e-07,5.97783066148903e-07,4.501823090751e-07,1.54980794927493e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
1.54980794927493e-07,1.54980794927493e-07,4.501823090751e-07,4.501823090751e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
5.97783066148903e-07,5.97783066148903e-07,4.501823090751e-07,7.45383823222706e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
3.02581552001297e-07,3.02581552001297e-07,4.501823090751e-07,1.54980794927493e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.45383823222706e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
1.54980794927493e-07,1.54980794927493e-07,1.54980794927493e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
5.97783066148903e-07,4.501823090751e-07,4.501823090751e-07,3.02581552001297e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
1.04058533737031e-06,1.18818609444412e-06,1.18818609444412e-06,7.45383823222706e-07,4.501823090751e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
1.48338760859172e-06,1.48338760859172e-06,1.48338760859172e-06,1.18818609444412e-06,8.92984580296509e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
1.48338760859172e-06,1.48338760859172e-06,1.33578685151792e-06,1.63098836566553e-06,7.45383823222706e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
2.81179442225595e-06,2.81179442225595e-06,2.51659290810834e-06,1.33578685151792e-06,3.02581552001297e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
4.73060426421539e-06,4.73060426421539e-06,5.025805778363e-06,4.87820502128919e-06,1.63098836566553e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
7.83022016276526e-06,7.83022016276526e-06,7.23981713447005e-06,6.20661183495342e-06,2.81179442225595e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
1.96382807286695e-05,1.96382807286695e-05,1.94906799715957e-05,1.80146724008577e-05,9.30622773350329e-06,1.54980794927493e-07,7.38003785369016e-09,7.38003785369016e-09
8.01545911289288e-05,8.01545911289288e-05,8.0006990371855e-05,7.05605419191316e-05,2.70183185823597e-05,4.43540275006779e-06,7.38003785369016e-09,7.38003785369016e-09
0.000930334951874035,0.000930334951874035,0.000931368157173552,0.000945390229095563,0.00100930135690852,0.00104782515450478,0.00105240077797407,0.00105240077797407
0.998947599222026,0.998947599222026,0.998947599222026,0.998947599222026,0.998947599222026,0.998947599222026,0.998947599222026,0.998947599222026
