"V1","V2","V3","V4","V5","V6","V7","V8"
1.77858912273933e-06,1.63098836566553e-06,1.48338760859172e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
2.07379063688693e-06,2.22139139396074e-06,1.92618987981313e-06,4.501823090751e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
2.95939517932975e-06,2.81179442225595e-06,2.66419366518215e-06,1.63098836566553e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
2.51659290810834e-06,2.36899215103454e-06,2.07379063688693e-06,2.81179442225595e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
2.81179442225595e-06,2.95939517932975e-06,3.40219745055116e-06,2.95939517932975e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
3.10699593640356e-06,3.25459669347736e-06,3.10699593640356e-06,2.66419366518215e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
3.10699593640356e-06,2.95939517932975e-06,2.95939517932975e-06,3.69739896469877e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
3.40219745055116e-06,3.54979820762497e-06,3.54979820762497e-06,2.66419366518215e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
3.10699593640356e-06,3.10699593640356e-06,3.54979820762497e-06,4.28780199299398e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
4.58300350714159e-06,4.28780199299398e-06,4.28780199299398e-06,3.84499972177257e-06,4.501823090751e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
3.99260047884638e-06,4.14020123592018e-06,3.99260047884638e-06,4.28780199299398e-06,2.51659290810834e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
3.69739896469877e-06,3.84499972177257e-06,3.99260047884638e-06,4.58300350714159e-06,3.99260047884638e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
5.61620880665821e-06,5.61620880665821e-06,5.76380956373201e-06,5.025805778363e-06,6.79701486324864e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
8.56822394813427e-06,8.42062319106047e-06,7.53501864861765e-06,7.38741789154385e-06,6.64941410617483e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
6.79701486324864e-06,6.79701486324864e-06,7.53501864861765e-06,7.97782091983906e-06,7.09221637739624e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
7.83022016276526e-06,7.83022016276526e-06,7.83022016276526e-06,8.56822394813427e-06,8.86342546228188e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
1.31438474174222e-05,1.31438474174222e-05,1.28486459032746e-05,1.16678398466841e-05,1.22582428749794e-05,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
2.83467253960239e-05,2.81991246389501e-05,2.77563223677287e-05,2.59851132828431e-05,1.68338663442673e-05,1.04058533737031e-06,7.38003785369016e-09,7.38003785369016e-09
9.40290622938663e-05,9.41766630509401e-05,9.34386592655711e-05,8.70918267113976e-05,4.31068011034042e-05,2.40663034408836e-05,7.38003785369016e-09,7.38003785369016e-09
0.000603546875712635,0.000603694476469709,0.000605318084797521,0.000617421346877572,0.000696387751912057,0.000779782179658756,0.000804874308361302,0.000804874308361302
0.999195125691639,0.999195125691639,0.999195125691639,0.999195125691639,0.999195125691639,0.999195125691639,0.999195125691639,0.999195125691639
