"V1","V2","V3","V4","V5","V6","V7","V8","V9"
8,6,1,0,0,0,0,0,0
8,8,3,0,0,0,0,0,0
8,8,5,0,0,0,0,0,0
7,7,6,0,0,0,0,0,0
8,8,7,0,0,0,0,0,0
8,7,7,0,0,0,0,0,0
8,8,7,0,0,0,0,0,0
8,8,8,0,0,0,0,0,0
8,8,8,1,0,0,0,0,0
7,8,8,1,0,0,0,0,0
8,8,7,1,0,0,0,0,0
8,8,8,2,0,0,0,0,0
8,8,8,3,0,0,0,0,0
8,8,8,4,0,0,0,0,0
8,8,8,5,0,0,0,0,0
8,8,9,6,0,0,0,0,0
8,8,8,7,0,0,0,0,0
8,8,8,7,0,0,0,0,0
8,8,8,7,0,0,0,0,0
8,8,8,8,0,0,0,0,0
9,9,8,8,0,0,0,0,0
8,8,8,8,0,0,0,0,0
8,8,8,8,0,0,0,0,0
8,8,8,8,0,0,0,0,0
9,9,8,9,0,0,0,0,0
8,8,8,8,0,0,0,0,0
8,8,8,9,0,0,0,0,0
9,9,9,8,0,0,0,0,0
8,8,9,9,0,0,0,0,0
9,9,9,8,0,0,0,0,0
8,8,8,8,0,0,0,0,0
9,9,9,9,0,0,0,0,0
9,9,9,9,0,0,0,0,0
9,9,9,8,0,0,0,0,0
9,9,9,9,0,0,0,0,0
9,9,9,10,0,0,0,0,0
8,9,9,8,0,0,0,0,0
10,9,8,9,0,0,0,0,0
9,9,9,9,0,0,0,0,0
9,9,9,9,0,0,0,0,0
9,9,9,9,0,0,0,0,0
9,9,9,9,0,0,0,0,0
9,9,10,9,0,0,0,0,0
10,10,10,10,0,0,0,0,0
9,10,10,9,0,0,0,0,0
10,10,10,10,0,0,0,0,0
9,9,9,10,0,0,0,0,0
10,9,10,10,0,0,0,0,0
9,9,10,10,0,0,0,0,0
10,10,10,10,0,0,0,0,0
10,11,10,9,0,0,0,0,0
10,10,11,10,0,0,0,0,0
9,10,10,9,0,0,0,0,0
11,10,10,11,0,0,0,0,0
11,11,10,11,0,0,0,0,0
10,10,10,10,0,0,0,0,0
11,11,11,10,0,0,0,0,0
11,11,11,11,0,0,0,0,0
11,11,11,11,0,0,0,0,0
11,11,11,10,0,0,0,0,0
11,11,12,10,1,0,0,0,0
12,12,11,11,1,0,0,0,0
11,11,12,11,1,0,0,0,0
12,12,11,11,2,0,0,0,0
12,12,12,11,2,0,0,0,0
11,11,12,11,3,0,0,0,0
12,12,12,12,4,0,0,0,0
12,12,12,11,4,0,0,0,0
11,11,11,12,5,0,0,0,0
12,12,12,12,6,0,0,0,0
11,11,12,12,6,0,0,0,0
13,13,12,12,8,0,0,0,0
12,12,12,13,7,0,0,0,0
13,12,12,13,8,0,0,0,0
13,13,12,12,10,0,0,0,0
13,13,13,12,10,0,0,0,0
12,12,13,13,10,0,0,0,0
13,12,12,13,11,0,0,0,0
14,14,13,12,12,0,0,0,0
14,14,13,13,11,0,0,0,0
13,13,14,13,12,0,0,0,0
14,14,13,13,12,0,0,0,0
14,14,13,13,13,0,0,0,0
14,14,14,13,14,0,0,0,0
14,14,14,14,12,0,0,0,0
15,15,15,14,13,0,0,0,0
15,15,15,14,14,0,0,0,0
14,14,14,14,14,0,0,0,0
15,15,15,15,13,0,0,0,0
14,14,14,15,14,0,0,0,0
15,14,14,15,13,0,0,0,0
15,15,15,14,14,0,0,0,0
16,16,14,15,13,0,0,0,0
15,15,15,16,14,0,0,0,0
15,15,16,16,14,0,0,0,0
16,16,16,15,14,0,0,0,0
17,17,17,16,14,0,0,0,0
16,16,16,17,15,0,0,0,0
16,16,16,16,15,0,0,0,0
17,17,16,15,15,0,0,0,0
16,16,17,16,15,0,0,0,0
17,17,17,17,15,0,0,0,0
17,17,17,17,16,0,0,0,0
18,18,18,16,17,0,0,0,0
19,19,18,17,16,0,0,0,0
18,18,18,18,16,0,0,0,0
17,17,18,18,17,0,0,0,0
19,19,19,18,17,0,0,0,0
17,17,17,19,17,0,0,0,0
20,20,18,18,16,0,0,0,0
20,20,19,20,17,0,0,0,0
19,19,19,19,18,0,0,0,0
20,20,20,19,18,0,0,0,0
20,20,21,21,18,0,0,0,0
20,20,19,21,18,0,0,0,0
20,20,20,20,19,0,0,0,0
21,21,21,20,19,0,0,0,0
21,21,21,21,18,0,0,0,0
21,21,21,21,20,0,0,0,0
21,21,21,22,21,0,0,0,0
21,21,21,22,20,0,0,0,0
22,21,21,22,19,0,0,0,0
23,23,23,22,21,0,0,0,0
23,24,23,22,21,0,0,0,0
23,23,23,22,21,0,0,0,0
23,23,24,23,22,0,0,0,0
23,23,22,23,24,0,0,0,0
25,25,24,24,23,0,0,0,0
25,25,25,24,23,0,0,0,0
25,25,25,26,24,0,0,0,0
25,25,25,24,23,0,0,0,0
25,26,26,25,25,0,0,0,0
25,25,25,27,25,0,0,0,0
28,27,27,26,24,0,0,0,0
28,28,29,28,23,0,0,0,0
28,28,27,27,26,0,0,0,0
28,28,28,28,26,0,0,0,0
29,30,29,28,27,0,0,0,0
30,30,30,29,30,0,0,0,0
29,29,30,30,31,0,0,0,0
31,31,31,31,29,0,0,0,0
32,32,31,29,30,0,0,0,0
32,32,32,31,29,0,0,0,0
32,31,32,31,30,0,0,0,0
36,35,34,34,30,0,0,0,0
34,35,36,32,31,0,0,0,0
35,34,35,34,31,0,0,0,0
36,36,36,37,33,0,0,0,0
38,38,36,38,31,0,0,0,0
38,39,39,39,35,0,0,0,0
39,39,39,38,36,1,0,0,0
39,39,40,41,37,1,0,0,0
40,40,41,41,38,2,0,0,0
41,41,42,41,39,3,0,0,0
43,43,41,43,40,5,0,0,0
45,45,46,45,41,7,0,0,0
45,45,45,46,40,10,0,0,0
49,49,48,46,41,12,0,0,0
47,48,47,47,41,16,0,0,0
51,51,51,50,42,22,0,0,0
49,50,51,51,44,27,0,0,0
53,52,50,51,46,30,0,0,0
55,55,55,52,49,34,0,0,0
57,57,56,56,54,38,0,0,0
60,60,59,54,57,40,0,0,0
63,62,62,59,61,41,0,0,0
62,63,63,63,63,46,0,0,0
