"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","9","4","2","2","6","6","4","3","10","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"2","1","5","1","8","6","1","2","4","2","8","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"3","3","2","3","3","9","3","9","5","3","3","10","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"4","2","6","8","8","7","3","1","3","10","7","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","21","22"
"5","7","2","2","5","8","8","6","4","10","10","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"6","3","5","2","6","7","5","7","8","9","10","10","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"7","2","6","1","5","3","6","2","5","10","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"8","2","1","2","8","4","2","2","5","1","5","11","12","13","14","15","16","17","18","19","19","21","21","21","21","21","22","22"
"9","5","7","2","5","9","3","9","10","4","11","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"10","7","1","3","2","7","4","3","5","10","8","10","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"11","3","1","2","2","2","8","4","9","9","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"12","1","6","2","6","4","5","1","9","3","11","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"13","7","1","4","1","1","8","2","6","4","9","11","11","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"14","5","5","5","2","7","3","8","5","9","10","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"15","2","5","2","5","1","4","4","5","9","10","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"16","1","7","4","5","4","6","1","2","10","10","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"17","3","7","1","5","1","6","4","9","3","8","10","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"18","7","6","1","7","8","7","4","5","8","10","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"19","2","4","1","7","7","1","6","7","10","8","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"20","6","1","2","5","1","6","9","5","10","5","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"21","9","3","5","4","3","4","1","5","7","7","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"22","1","4","2","5","10","5","1","2","8","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"23","1","9","3","9","2","3","4","3","10","10","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"24","4","6","2","2","6","6","2","3","10","7","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"25","8","1","7","8","1","4","2","5","5","8","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"26","3","3","3","2","3","4","6","1","8","9","10","12","13","14","15","16","17","18","19","21","21","21","21","21","21","22","22"
"27","8","6","1","6","4","2","6","6","8","10","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"28","3","2","2","6","6","2","6","2","9","10","11","12","13","14","15","16","17","18","19","19","21","21","21","21","21","22","22"
"29","6","3","5","8","1","6","1","7","6","8","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"30","2","7","2","4","4","2","6","8","8","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"31","3","6","7","6","10","8","2","3","2","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"32","7","9","7","8","4","1","6","10","10","10","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"33","4","1","2","2","7","1","1","4","8","1","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"34","7","3","1","6","4","10","1","4","8","7","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"35","4","5","3","6","1","2","2","3","9","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"36","8","5","7","5","7","5","6","2","10","10","11","12","13","14","15","16","17","18","19","21","21","21","21","21","21","22","22"
"37","9","7","2","2","1","1","10","9","1","11","11","12","13","14","15","16","17","18","19","21","21","21","21","21","21","22","22"
"38","3","6","2","2","4","5","6","3","8","8","12","11","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"39","1","6","2","6","4","4","1","4","9","7","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","21","22"
"40","2","6","2","2","4","8","7","9","10","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","21","22"
"41","6","9","8","8","6","2","7","1","1","7","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"42","7","5","1","5","7","8","1","2","9","8","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"43","3","7","2","5","9","8","9","4","9","10","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"44","2","3","2","5","7","2","3","9","5","9","11","12","13","14","15","16","17","18","19","19","21","21","21","21","21","22","22"
"45","3","6","2","7","7","6","6","7","6","8","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","21","22"
"46","6","3","2","4","6","4","7","8","9","3","11","12","13","14","15","16","17","18","19","20","21","21","21","21","22","22","22"
"47","2","1","8","2","7","5","6","4","9","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"48","1","2","5","3","1","9","6","9","10","9","11","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
"49","10","2","5","9","1","7","4","8","1","10","10","12","13","14","15","16","17","18","19","20","21","21","21","21","21","22","22"
