"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","3","2","1","3","1","6","1","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"2","5","2","1","4","1","7","4","7","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"3","2","1","1","5","2","1","4","6","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"4","2","2","2","4","7","1","4","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"5","1","2","2","1","1","6","1","7","8","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"6","2","1","1","2","4","3","1","6","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"7","2","5","2","4","1","7","4","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"8","5","2","6","2","5","7","4","7","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"9","2","1","1","4","3","7","5","1","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"10","4","4","1","2","1","5","1","6","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"11","2","1","1","2","1","7","1","5","7","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"12","2","1","1","5","1","7","1","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"13","3","3","2","4","7","6","1","7","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"14","2","2","1","4","5","5","4","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"15","5","2","1","4","3","7","7","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"16","4","6","2","7","5","5","5","5","7","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"17","2","6","1","2","1","7","5","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"18","2","2","1","1","5","6","5","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"19","3","6","1","2","1","7","5","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"20","2","2","1","1","5","3","4","7","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"21","1","2","2","4","1","5","3","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
