"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","7","2","6","3","2","2","6","7","9","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","24","25"
"2","9","2","1","4","4","5","4","7","9","10","11","12","13","14","15","16","17","18","19","20","21","21","22","23","24","24","25"
"3","2","2","1","5","2","6","4","5","9","10","11","12","13","14","15","16","17","18","19","20","21","21","22","23","24","24","25"
"4","2","2","2","4","7","6","4","5","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","24","25"
"5","4","6","6","2","1","3","1","5","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","24","25"
"6","4","2","6","4","4","3","6","5","10","10","11","12","13","14","15","16","17","18","19","20","21","21","22","23","24","25","25"
"7","2","2","2","4","6","5","4","5","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","24","25"
"8","5","2","6","2","5","7","4","7","9","10","11","12","13","14","15","16","17","18","19","20","21","21","22","23","24","24","25"
"9","2","2","1","4","3","3","5","3","9","10","11","12","13","14","15","16","17","18","19","20","21","21","22","23","24","25","25"
"10","4","4","1","2","4","5","1","5","10","10","11","12","13","14","15","16","17","18","19","20","21","21","22","23","24","24","25"
"11","2","2","6","6","1","5","1","5","9","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","25","25"
"12","4","1","6","5","6","3","2","8","9","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","25","25"
"13","3","6","6","4","7","6","6","4","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","25","25"
"14","5","6","6","4","5","5","4","5","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","24","25"
"15","5","2","6","4","3","3","7","5","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","24","25"
"16","4","2","1","7","5","5","5","7","7","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","25","25"
"17","5","6","6","2","6","7","5","5","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","24","25"
"18","2","2","6","6","5","2","5","5","9","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","25","25"
"19","7","2","6","5","2","5","5","8","9","10","11","12","13","14","15","16","17","18","19","20","21","21","22","23","24","24","25"
"20","2","2","1","6","4","3","4","4","9","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","25","25"
"21","6","2","2","4","2","5","3","5","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","24","25"
"22","2","6","2","2","6","5","6","5","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","24","25"
"23","2","2","6","6","2","6","4","5","10","10","11","12","13","14","15","16","17","18","19","20","20","21","22","23","24","25","25"
