"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","8","1","1","10","2","3","9","6","8","12","11","11","13","14","15","16","18","19","19","19","19","19","19","19","19"
"2","4","11","3","2","11","3","10","6","3","11","12","11","13","14","15","16","17","18","19","19","19","19","19","19","19"
"3","3","1","5","11","8","10","9","6","11","10","11","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"4","10","3","2","4","2","10","2","11","9","11","11","12","12","14","15","16","18","19","18","19","19","19","19","19","19"
"5","6","3","4","6","4","11","8","11","11","4","10","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"6","6","2","1","3","2","10","11","8","11","11","12","12","13","14","15","16","17","18","19","19","19","19","19","19","19"
"7","6","4","4","6","10","6","9","10","11","1","12","13","13","14","15","16","17","19","19","19","19","19","19","19","19"
"8","3","6","6","6","10","6","11","6","3","12","6","12","13","14","16","16","17","19","19","19","19","19","19","19","19"
"9","8","6","10","4","11","6","10","7","8","8","3","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"10","10","4","3","6","3","6","6","6","10","10","11","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"11","6","4","4","6","6","11","6","3","11","11","11","12","12","14","15","16","17","19","19","19","19","19","19","19","19"
"12","10","6","10","4","10","8","10","8","4","6","11","13","13","14","15","16","17","19","19","19","19","19","19","19","19"
"13","3","6","3","6","6","5","7","11","11","3","12","12","13","14","15","16","17","18","19","19","19","19","19","19","19"
"14","11","3","6","6","6","6","8","10","10","8","8","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"15","8","6","3","7","11","4","8","3","3","7","12","13","13","14","15","16","17","18","19","19","19","19","19","19","19"
"16","6","8","10","10","12","6","9","10","10","5","11","12","13","14","15","16","17","17","19","19","19","19","19","19","19"
"17","6","4","6","6","3","2","3","9","4","7","12","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"18","3","6","6","6","6","11","4","6","11","10","10","12","13","14","15","16","17","18","19","19","19","19","19","19","19"
"19","8","1","4","10","4","6","6","6","12","10","11","12","13","14","15","16","17","18","19","19","19","19","19","19","19"
"20","6","1","3","8","10","8","7","10","6","4","11","12","12","14","15","16","17","19","19","19","19","19","19","19","19"
"21","6","5","3","10","11","1","8","4","6","3","11","12","12","14","15","16","17","19","19","19","19","19","19","19","19"
"22","3","4","6","2","2","6","11","6","1","10","11","13","13","14","15","16","18","18","19","19","19","19","19","19","19"
"23","10","2","4","5","7","11","4","8","3","3","3","12","13","13","15","16","17","18","19","19","19","19","19","19","19"
"24","6","7","6","11","1","2","6","9","3","3","12","12","12","14","16","16","17","19","19","19","19","19","19","19","19"
"25","9","11","4","6","2","9","6","10","4","8","11","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"26","10","11","5","3","1","11","11","6","2","3","10","12","13","14","15","16","17","18","19","19","19","19","19","19","19"
"27","6","10","9","9","4","6","7","6","11","9","6","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"28","5","4","4","11","3","5","6","4","8","4","11","11","13","14","15","16","17","18","19","19","19","19","19","19","19"
"29","8","11","6","6","11","6","5","6","10","11","11","11","13","14","15","16","17","18","19","19","19","19","19","19","19"
"30","7","6","2","1","11","4","3","1","10","11","12","12","13","14","15","16","17","17","19","19","19","19","19","19","19"
"31","3","4","11","4","6","8","4","1","1","1","11","12","13","14","15","16","17","17","19","19","19","19","19","19","19"
"32","3","4","6","1","4","2","11","9","10","11","11","13","13","14","15","15","17","18","19","19","19","19","19","19","19"
"33","12","11","6","4","5","12","7","3","12","4","8","12","13","14","15","16","17","18","19","19","19","19","19","19","19"
"34","3","3","6","4","4","8","9","2","6","9","10","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"35","6","1","6","9","10","2","10","6","1","6","11","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"36","1","11","4","6","6","6","3","9","11","11","12","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"37","8","2","6","1","1","10","1","11","9","8","4","12","13","14","15","17","17","19","19","19","19","19","19","19","19"
"38","6","1","4","7","2","8","4","7","8","11","12","12","12","14","15","16","17","19","19","19","19","19","19","19","19"
"39","11","4","6","9","4","10","8","3","11","1","12","12","13","14","15","16","18","19","19","19","19","19","19","19","19"
"40","1","6","9","4","8","1","10","11","11","3","12","12","13","14","15","16","17","18","19","19","19","19","19","19","19"
"41","8","1","3","6","1","3","8","11","10","8","2","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"42","3","3","10","10","2","4","6","6","11","3","11","10","13","14","15","16","17","19","19","19","19","19","19","19","19"
"43","10","9","6","10","8","10","4","11","11","11","12","12","13","14","15","16","19","19","19","19","19","19","19","19","19"
"44","11","6","1","3","4","11","8","9","11","3","11","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"45","10","3","3","6","10","1","11","9","11","8","8","11","13","14","15","16","17","19","19","19","19","19","19","19","19"
"46","3","2","1","8","7","1","4","8","6","3","12","12","13","14","15","16","17","19","19","19","19","19","19","19","19"
"47","10","3","9","6","10","2","8","6","4","12","10","12","13","14","15","16","17","18","19","19","19","19","19","19","19"
"48","11","9","3","2","6","10","8","6","2","3","8","12","12","14","15","16","17","19","19","19","19","19","19","19","19"
"49","10","3","4","6","8","6","2","3","6","3","12","11","13","14","15","16","17","19","19","19","19","19","19","19","19"
"50","6","4","11","10","1","8","8","6","4","1","11","10","12","14","15","16","17","18","19","19","19","19","19","19","19"
