"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","8","1","1","10","3","3","9","6","8","12","11","11","13","14","15","16","17","19","19","19","19","19","20","20","20"
"2","4","11","3","2","11","3","10","6","3","11","12","11","13","14","15","16","17","18","19","19","19","19","20","20","21"
"3","3","9","5","8","8","10","9","3","11","10","11","12","13","14","15","16","17","19","19","19","19","19","20","21","21"
"4","10","3","2","4","5","10","2","11","9","11","12","12","12","14","15","16","18","19","18","19","19","19","20","20","21"
"5","6","3","4","3","4","11","8","11","11","4","2","12","13","14","15","16","17","19","19","19","19","20","20","20","21"
"6","6","2","3","3","2","10","11","8","11","11","12","12","13","14","15","16","17","18","19","19","19","19","20","20","21"
"7","4","4","4","1","10","6","9","11","11","1","12","13","13","14","15","16","17","19","19","19","19","19","20","20","21"
"8","3","6","4","4","9","4","11","6","3","12","6","12","13","14","16","16","17","19","19","19","19","19","20","20","22"
"9","8","6","7","4","10","6","9","7","8","8","3","13","13","14","15","16","17","19","19","19","19","19","20","21","22"
"10","10","4","3","6","8","6","6","6","10","10","11","12","13","14","15","16","17","19","19","19","19","19","20","20","21"
"11","6","4","4","6","6","11","6","3","11","10","11","11","12","14","15","16","17","19","19","19","19","19","20","20","21"
"12","10","6","7","10","10","8","10","8","4","4","11","13","13","14","15","16","17","19","19","19","19","19","20","20","21"
"13","3","6","3","6","6","9","1","11","11","3","12","13","13","14","15","16","17","18","19","19","19","20","20","21","21"
"14","11","3","6","4","6","2","8","10","10","8","8","12","13","14","15","16","17","19","19","19","19","19","20","20","21"
"15","9","4","8","8","11","1","8","3","3","4","12","13","13","14","15","16","17","18","19","19","19","19","20","20","21"
"16","6","8","10","10","11","3","10","8","8","9","11","12","13","14","15","16","17","17","19","19","19","19","20","20","21"
"17","1","4","6","4","3","2","3","9","4","8","12","12","13","14","15","16","17","19","19","19","19","20","20","20","21"
"18","3","3","3","2","1","10","10","5","11","10","11","12","13","14","15","16","17","18","19","19","19","19","20","20","21"
"19","8","4","4","10","4","6","4","1","12","11","11","12","13","14","15","16","17","18","19","19","19","19","20","21","20"
"20","6","3","3","8","10","4","7","10","4","4","11","12","12","14","15","16","17","19","19","19","19","19","20","20","21"
"21","6","5","3","10","11","4","8","1","6","3","11","12","12","14","15","16","17","19","19","19","19","19","20","20","21"
"22","3","4","4","4","2","3","11","5","8","10","11","13","13","14","15","16","18","18","19","19","19","19","20","20","21"
"23","11","2","4","5","8","11","4","8","3","9","3","12","13","13","15","16","17","18","19","19","19","19","20","20","21"
"24","6","7","4","11","1","2","6","9","3","3","12","12","12","14","16","16","17","19","19","19","19","19","20","21","21"
"25","5","11","4","6","2","9","6","11","4","10","11","12","13","14","15","16","17","19","19","19","19","19","20","20","21"
"26","3","11","5","3","1","10","11","6","2","3","10","11","13","14","15","16","17","18","19","19","19","19","20","21","21"
"27","1","10","9","9","4","2","8","1","11","8","6","12","13","14","15","16","17","19","19","19","19","19","20","20","21"
"28","9","4","4","10","3","5","9","4","8","4","11","11","13","14","15","16","17","18","19","19","19","20","20","21","21"
"29","9","10","6","6","11","6","3","6","8","11","11","11","13","14","15","16","17","18","19","19","19","20","20","20","21"
"30","8","6","2","3","11","4","8","6","10","11","12","12","13","14","15","16","17","17","19","19","19","19","20","20","21"
"31","3","4","11","4","6","8","4","2","1","1","11","12","13","14","15","16","17","17","19","19","19","19","20","20","21"
"32","3","4","6","1","4","2","11","11","10","11","11","13","13","14","15","15","17","18","19","19","19","19","20","20","21"
"33","12","11","6","4","5","12","7","3","12","4","8","12","13","14","15","16","17","18","19","19","19","19","20","21","21"
"34","10","3","6","4","4","9","9","2","6","8","10","12","13","14","15","16","17","19","19","19","19","20","20","21","20"
"35","6","3","6","10","10","2","9","6","3","2","11","11","13","14","15","16","17","19","19","19","19","19","20","21","21"
"36","1","11","4","6","6","6","3","11","12","11","12","12","13","14","15","16","17","19","19","19","19","20","20","20","21"
"37","8","2","6","3","1","10","6","10","9","8","4","12","13","14","15","17","17","19","19","19","19","19","20","21","21"
"38","6","6","4","7","2","8","10","8","8","11","12","11","12","14","15","16","17","19","19","19","19","20","20","20","21"
"39","11","4","6","10","4","10","8","3","11","1","12","12","13","14","15","16","17","19","19","19","19","19","20","20","21"
"40","1","6","9","4","8","6","10","11","11","5","12","12","13","14","15","16","17","18","19","19","19","20","20","20","21"
"41","8","1","3","6","1","3","8","11","10","8","2","12","13","14","15","16","17","19","19","19","19","19","20","20","21"
"42","3","9","10","11","2","8","6","5","11","3","11","10","13","14","15","16","17","19","19","19","19","19","20","20","21"
"43","10","9","6","10","8","10","4","11","9","11","12","12","13","14","15","16","19","19","19","19","19","19","20","21","22"
"44","11","6","1","3","4","11","8","9","11","3","11","12","13","14","15","16","17","19","19","19","19","20","20","21","21"
"45","10","3","3","6","10","4","11","9","11","4","8","11","13","14","15","16","17","19","19","19","19","20","20","21","21"
"46","3","4","2","8","8","1","4","8","6","7","12","12","13","14","15","16","17","19","19","19","19","19","20","20","21"
"47","10","7","9","6","9","2","8","6","4","12","10","12","13","14","15","16","17","18","19","19","19","19","21","20","21"
"48","11","9","8","4","6","10","8","1","2","3","8","12","12","14","15","16","17","19","19","19","19","19","20","20","20"
"49","10","3","4","6","8","6","2","3","6","3","12","11","13","14","15","16","17","19","19","19","19","19","20","20","21"
"50","4","4","9","10","1","8","8","1","4","6","11","11","12","14","15","16","17","18","19","19","19","19","20","20","21"
