"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","6","6","6","2","3","5","9","9","4","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"2","2","6","2","2","5","3","2","9","6","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"3","6","6","2","2","6","6","4","6","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"4","2","6","2","6","6","6","6","2","8","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"5","6","6","6","6","2","5","6","9","2","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"6","6","6","6","6","6","3","6","6","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"7","6","6","6","2","6","6","6","6","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"8","6","6","4","2","6","3","4","9","2","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"9","6","6","4","6","9","6","6","6","4","6","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"10","6","6","6","6","4","8","6","9","6","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"11","6","6","6","2","6","8","2","4","6","9","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"12","6","2","6","6","2","5","2","9","6","10","10","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"13","3","6","6","2","6","5","6","6","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"14","6","6","4","2","6","2","6","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"15","6","4","2","6","6","4","6","6","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"16","6","6","6","2","6","6","6","9","6","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"17","2","6","6","6","5","2","4","2","6","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"18","6","5","2","6","3","3","8","9","6","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"19","3","6","6","2","6","6","2","2","6","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"20","2","6","2","6","6","1","4","6","4","5","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"21","7","2","6","6","4","3","4","9","2","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"22","6","6","6","2","6","3","6","6","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"23","2","4","6","2","6","6","6","9","2","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
