"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","3","6","2","3","4","5","6","9","9","8","11","12","13","14","15","16","17","18","19","20","21","22","23","23","25","25","25"
"2","6","6","2","2","4","3","2","4","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"3","6","6","2","2","4","3","4","6","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"4","2","2","5","2","5","6","4","2","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"5","6","6","4","6","2","5","4","9","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","25"
"6","6","6","4","6","4","3","6","6","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"7","3","2","6","2","2","5","6","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"8","6","6","4","2","6","3","4","2","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"9","3","2","4","6","4","5","6","5","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"10","6","2","6","6","4","5","6","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","25","25","25"
"11","3","6","6","2","6","5","6","4","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"12","4","2","6","2","2","3","2","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"13","3","6","6","2","4","2","6","4","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"14","4","6","4","2","4","3","4","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"15","6","5","2","5","3","4","2","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"16","6","2","6","2","4","3","6","9","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"17","3","6","4","9","2","2","4","2","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"18","6","5","2","6","5","3","8","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"19","3","2","6","2","2","4","2","4","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"20","3","6","2","6","4","3","4","5","5","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"21","7","2","4","6","4","3","2","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"22","4","2","6","2","2","3","6","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"23","2","6","6","2","4","4","6","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"24","6","2","6","2","6","1","6","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"25","6","4","6","6","4","3","2","5","8","5","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"26","6","2","2","2","4","3","4","6","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"27","6","2","4","2","4","3","4","4","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"28","6","2","4","3","2","3","4","9","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"29","2","2","6","2","4","3","6","5","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"30","2","2","6","6","4","3","4","9","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"31","2","6","6","6","4","5","4","5","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"32","6","4","6","2","2","5","2","9","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"33","4","6","6","4","6","5","6","9","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"34","6","2","6","4","2","3","6","9","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","25","25","25"
"35","6","2","6","2","4","3","4","9","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
