"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","9","1","1","10","2","3","5","4","9","12","11","11","13","14","15","16","17","18","19","20","20","20","20","20","20"
"2","4","11","5","2","11","3","10","6","1","11","12","11","13","14","15","16","17","18","19","19","20","20","20","20","20"
"3","5","9","1","7","8","10","4","6","10","11","11","12","13","14","15","16","17","18","19","19","20","20","20","20","20"
"4","3","3","4","4","6","11","2","11","3","11","11","12","12","14","15","16","18","18","18","20","20","20","20","20","20"
"5","4","3","1","1","4","11","7","11","11","4","10","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"6","6","1","1","3","3","10","11","8","11","11","11","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"7","1","4","4","6","9","1","9","8","11","2","12","13","13","14","15","16","17","18","20","19","20","20","20","20","20"
"8","3","4","4","6","10","4","11","6","9","12","10","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"9","9","2","10","2","10","1","9","1","8","9","1","12","13","14","15","16","17","18","19","19","20","20","20","20","20"
"10","10","4","5","6","6","6","6","1","9","11","11","11","13","14","15","16","17","18","19","20","20","20","20","20","20"
"11","6","4","6","6","6","11","3","1","11","10","11","12","12","14","15","16","17","18","19","20","20","20","20","20","20"
"12","7","6","10","4","11","8","9","7","4","4","11","13","13","14","15","16","17","18","19","20","20","20","20","20","20"
"13","3","1","3","1","4","7","7","11","11","7","12","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"14","11","1","6","6","6","6","8","10","4","7","9","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"15","6","1","1","1","11","2","8","6","5","7","12","13","13","14","15","16","17","18","20","20","20","20","20","20","20"
"16","6","8","10","9","12","7","9","8","8","9","11","12","13","14","15","16","17","17","19","20","20","20","20","20","20"
"17","1","8","1","6","7","2","7","9","4","8","12","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"18","1","6","5","4","4","11","3","6","10","10","10","12","13","14","15","16","17","18","19","19","20","20","20","20","20"
"19","8","7","6","9","4","1","6","4","12","10","11","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"20","1","3","5","5","10","7","7","10","6","6","11","12","12","14","15","16","17","18","18","20","20","20","20","20","20"
"21","4","3","3","9","11","7","7","2","2","7","11","12","12","14","15","16","17","18","19","20","20","20","20","20","20"
"22","1","4","4","4","9","5","11","6","1","10","11","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"23","7","2","8","1","2","11","4","8","9","5","6","12","13","13","15","16","17","18","19","20","20","20","20","20","20"
"24","1","1","1","11","6","4","6","3","3","9","12","12","12","14","16","16","17","19","19","20","20","20","20","20","20"
"25","7","11","4","1","3","9","3","11","4","10","11","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"26","10","11","6","3","6","11","11","6","2","7","4","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"27","1","6","9","7","4","6","3","2","11","8","10","12","13","14","15","16","17","19","19","20","20","20","20","20","20"
"28","9","8","4","10","6","5","4","5","8","1","10","11","13","14","15","16","17","18","19","20","20","20","20","20","20"
"29","8","11","6","4","11","4","10","6","11","11","10","11","13","14","15","16","17","18","19","20","20","20","20","20","20"
"30","8","6","7","5","11","2","7","1","10","11","12","12","13","14","15","16","17","18","19","19","20","20","20","20","20"
"31","3","8","11","10","4","10","4","1","1","2","11","12","13","14","15","16","17","17","19","19","20","20","20","20","20"
"32","5","6","6","1","7","1","11","9","9","11","10","13","13","14","15","15","17","18","19","20","20","20","20","20","20"
"33","12","11","6","6","9","11","7","5","12","1","7","12","13","14","15","16","17","18","19","19","20","20","20","20","20"
"34","7","9","2","4","4","7","5","2","6","8","9","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"35","2","1","6","10","4","1","9","4","1","6","11","12","13","14","15","16","17","19","19","19","20","20","20","20","20"
"36","1","11","1","6","6","6","3","9","12","11","12","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"37","4","1","6","5","1","10","1","10","9","8","4","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"38","3","1","4","4","3","8","3","3","8","9","12","12","12","14","15","16","17","18","20","20","20","20","20","20","20"
"39","11","4","6","10","6","9","10","3","11","3","12","12","13","14","15","16","17","19","19","20","20","20","20","20","20"
"40","2","1","9","6","7","1","7","11","11","5","12","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"41","4","3","7","4","7","3","9","11","10","3","7","13","13","14","15","16","17","18","19","20","20","20","20","20","20"
"42","3","6","9","11","4","4","4","6","11","7","11","1","13","14","15","16","17","17","19","20","20","20","20","20","20"
"43","9","9","2","9","6","10","4","11","8","11","12","12","13","14","15","16","17","18","20","20","20","20","20","20","20"
"44","11","1","1","3","4","11","8","5","10","3","11","12","13","14","15","16","17","17","19","20","20","20","20","20","20"
"45","10","1","3","2","2","7","11","5","11","8","9","11","13","14","15","16","17","18","20","19","20","20","20","20","20"
"46","3","2","3","8","7","1","9","3","1","7","12","13","13","14","15","16","17","18","19","20","20","20","20","20","20"
"47","10","3","5","6","7","2","7","4","7","12","8","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"48","11","9","3","4","1","4","8","6","3","3","7","12","12","14","15","16","17","19","18","20","20","20","20","20","20"
"49","10","1","1","6","5","6","1","10","6","3","12","11","12","14","15","16","17","18","19","19","20","20","20","20","20"
"50","6","7","11","9","3","8","8","2","1","6","11","10","12","14","15","16","17","18","19","20","20","20","20","20","20"
