"","V1","V2","likelihood_estimates"
"1",0.01,15,-4486729.74188111
"2",0.01,30,-4488800.52743384
"3",0.01,45,-4490194.44924398
"4",0.01,60,-4491248.78230166
"5",0.01,75,-4492098.36800638
"6",0.01,90,-4492810.65093902
"7",0.01,105,-4493424.29410261
"8",0.01,120,-4493963.56467917
"9",0.01,135,-4494444.71307644
"10",0.01,150,-4494879.16393931
"11",0.01,165,-4495275.26003271
"12",0.01,180,-4495639.28217315
"13",0.01,195,-4495976.07871375
"14",0.01,210,-4496289.4714329
"15",0.01,225,-4496582.52693566
"16",0.01,240,-4496857.74378131
"17",0.01,255,-4497117.18494403
"18",0.01,270,-4497362.57372964
"19",0.01,285,-4497595.36463264
"20",0.01,300,-4497816.7966029
"21",0.01,315,-4498027.93372441
"22",0.01,330,-4498229.69671623
"23",0.01,345,-4498422.88763437
"24",0.01,360,-4498608.20946733
"25",0.01,375,-4498786.28184128
"26",0.01,390,-4498957.65372613
"27",0.01,405,-4499122.81380823
"28",0.01,420,-4499282.19902239
"29",0.01,435,-4499436.20162551
"30",0.01,450,-4499585.1750992
"31",0.01,465,-4499729.43910774
"32",0.01,480,-4499869.28368649
"33",0.01,495,-4500004.97280208
"34",0.01,510,-4500136.74738999
"35",0.01,525,-4500264.82796468
"36",0.01,540,-4500389.41686736
"37",0.01,555,-4500510.70021369
"38",0.01,570,-4500628.84958652
"39",0.01,585,-4500744.02351284
"40",0.01,600,-4500856.36875864
"41",0.01,615,-4500966.02146548
"42",0.01,630,-4501073.10815424
"43",0.01,645,-4501177.74661175
"44",0.01,660,-4501280.0466785
"45",0.01,675,-4501380.11094797
"46",0.01,690,-4501478.03539246
"47",0.01,705,-4501573.90992094
"48",0.01,720,-4501667.818881
"49",0.01,735,-4501759.84150787
"50",0.01,750,-4501850.05233072
"51",0.01,765,-4501938.52153846
"52",0.01,780,-4502025.31531072
"53",0.01,795,-4502110.49611824
"54",0.01,810,-4502194.12299497
"55",0.01,825,-4502276.25178622
"56",0.01,840,-4502356.93537468
"57",0.01,855,-4502436.2238859
"58",0.01,870,-4502514.16487792
"59",0.01,885,-4502590.80351326
"60",0.01,900,-4502666.18271734
"61",0.01,915,-4502740.34332479
"62",0.01,930,-4502813.32421186
"63",0.01,945,-4502885.16242113
"64",0.01,960,-4502955.89327476
"65",0.01,975,-4503025.55047907
"66",0.01,990,-4503094.1662224
"67",0.01,1005,-4503161.77126452
"68",0.01,1020,-4503228.39502053
"69",0.01,1035,-4503294.06563762
"70",0.01,1050,-4503358.81006742
"71",0.01,1065,-4503422.65413267
"72",0.01,1080,-4503485.62258947
"73",0.01,1095,-4503547.73918557
"74",0.01,1110,-4503609.02671358
"75",0.01,1125,-4503669.50706288
"76",0.01,1140,-4503729.20126538
"77",0.01,1155,-4503788.1295413
"78",0.01,1170,-4503846.31133902
"79",0.01,1185,-4503903.76537454
"80",0.01,1200,-4503960.50966804
"81",0.01,1215,-4504016.5615776
"82",0.01,1230,-4504071.93783143
"83",0.01,1245,-4504126.65455809
"84",0.01,1260,-4504180.72731449
"85",0.01,1275,-4504234.17111321
"86",0.01,1290,-4504287.00044686
"87",0.01,1305,-4504339.22931295
"88",0.01,1320,-4504390.87123461
"89",0.01,1335,-4504441.93928334
"90",0.01,1350,-4504492.44609836
"91",0.01,1365,-4504542.403905
"92",0.01,1380,-4504591.82453346
"93",0.01,1395,-4504640.7194343
"94",0.01,1410,-4504689.09969679
"95",0.01,1425,-4504736.97606156
"96",0.01,1440,-4504784.35893645
"97",0.01,1455,-4504831.25841
"98",0.01,1470,-4504877.68426383
"99",0.01,1485,-4504923.64598551
"100",0.01,1500,-4504969.15278041
"101",0.02,15,-4489282.89697194
"102",0.02,30,-4493443.97792424
"103",0.02,45,-4496243.32158335
"104",0.02,60,-4498360.75976251
"105",0.02,75,-4500067.28579821
"106",0.02,90,-4501498.30392571
"107",0.02,105,-4502731.39943006
"108",0.02,120,-4503815.25866818
"109",0.02,135,-4504782.48099539
"110",0.02,150,-4505655.98422749
"111",0.02,165,-4506452.50404145
"112",0.02,180,-4507184.6402042
"113",0.02,195,-4507862.11929979
"114",0.02,210,-4508492.60885883
"115",0.02,225,-4509082.2617041
"116",0.02,240,-4509636.09126155
"117",0.02,255,-4510158.23722297
"118",0.02,270,-4510652.15792054
"119",0.02,285,-4511120.77243688
"120",0.02,300,-4511566.56744476
"121",0.02,315,-4511991.67879594
