j	k	likelihood
0.005	50	-818769.644986126
0.005	100	-818650.465536512
0.005	150	-818581.706986451
0.005	200	-818533.636316136
0.005	250	-818496.818137161
0.005	300	-818467.055317521
0.005	350	-818442.119785451
0.005	400	-818420.689354719
0.005	450	-818401.916346448
0.005	500	-818385.225409692
0.005	550	-818370.208512794
0.005	600	-818356.566016707
0.005	650	-818344.071542869
0.005	700	-818332.549979474
0.005	750	-818321.863147422
0.005	800	-818311.900137487
0.005	850	-818302.570606212
0.005	900	-818293.800007835
0.005	950	-818285.526128917
0.005	1000	-818277.696521439
0.005	1050	-818270.266568958
0.005	1100	-818263.198007774
0.005	1150	-818256.457780426
0.005	1200	-818250.017136022
0.005	1250	-818243.850916391
0.005	1300	-818237.936983818
0.005	1350	-818232.255758066
0.005	1400	-818226.789838655
0.005	1450	-818221.523694119
0.005	1500	-818216.443404691
0.005	1550	-818211.536447571
0.005	1600	-818206.791516791
0.005	1650	-818202.198371121
0.005	1700	-818197.747704915
0.005	1750	-818193.431037964
0.005	1800	-818189.240621027
0.005	1850	-818185.16935448
0.005	1900	-818181.210717897
0.005	1950	-818177.358709016
0.005	2000	-818173.607790377
0.005	2050	-818169.95284273
0.005	2100	-818166.389124105
0.005	2150	-818162.91223374
0.005	2200	-818159.518080224
0.005	2250	-818156.202853293
0.005	2300	-818152.962998657
0.005	2350	-818149.795195716
0.005	2400	-818146.69633756
0.005	2450	-818143.663513062
0.005	2500	-818140.693990816
0.005	2550	-818137.785204716
0.005	2600	-818134.934740898
0.005	2650	-818132.140325943
0.005	2700	-818129.399816275
0.005	2750	-818126.711188451
0.005	2800	-818124.072530379
0.005	2850	-818121.482033335
0.005	2900	-818118.937984627
0.005	2950	-818116.438760987
0.005	3000	-818113.982822414
0.005	3050	-818111.568706632
0.005	3100	-818109.195023931
0.005	3150	-818106.860452487
0.005	3200	-818104.563733994
0.005	3250	-818102.303669679
0.005	3300	-818100.079116616
0.005	3350	-818097.888984323
0.005	3400	-818095.732231612
0.005	3450	-818093.607863628
0.005	3500	-818091.514929229
0.005	3550	-818089.45251838
0.005	3600	-818087.419759892
0.005	3650	-818085.415819208
0.005	3700	-818083.439896375
0.005	3750	-818081.49122422
0.005	3800	-818079.569066511
0.005	3850	-818077.672716368
0.005	3900	-818075.801494719
0.005	3950	-818073.954748855
0.005	4000	-818072.131851084
0.005	4050	-818070.332197488
0.005	4100	-818068.555206714
0.005	4150	-818066.800318882
0.005	4200	-818065.066994562
0.005	4250	-818063.354713746
0.005	4300	-818061.662974959
0.005	4350	-818059.991294395
0.005	4400	-818058.339205092
0.005	4450	-818056.706256142
0.005	4500	-818055.092011977
0.005	4550	-818053.496051708
0.005	4600	-818051.917968445
0.005	4650	-818050.357368666
0.005	4700	-818048.813871705
0.005	4750	-818047.287109111
0.005	4800	-818045.776724223
0.005	4850	-818044.282371595
0.005	4900	-818042.803716591
0.005	4950	-818041.340434901
0.005	5000	-818039.892212135
0.005	5050	-818038.458743411
0.005	5100	-818037.039733014
0.005	5150	-818035.634893992
0.005	5200	-818034.243947829
0.005	5250	-818032.8666241
0.005	5300	-818031.502660219
0.005	5350	-818030.151801066
0.005	5400	-818028.813798746
0.005	5450	-818027.488412319
0.005	5500	-818026.175407531
0.005	5550	-818024.87455659
0.005	5600	-818023.585637903
0.005	5650	-818022.308435862
0.005	5700	-818021.042740633
0.005	5750	-818019.788347988
0.005	5800	-818018.545059032
0.005	5850	-818017.312680084
0.005	5900	-818016.091022469
0.005	5950	-818014.87990236
0.005	6000	-818013.679140574
0.005	6050	-818012.488562496
0.005	6100	-818011.307997835
0.005	6150	-818010.137280553
0.005	6200	-818008.976248689
0.005	6250	-818007.824744229
0.005	6300	-818006.682612996
0.005	6350	-818005.549704509
0.005	6400	-818004.425871874
0.005	6450	-818003.31097167
0.005	6500	-818002.204863855
0.005	6550	-818001.107411612
0.005	6600	-818000.01848132
0.005	6650	-817998.937942407
0.005	6700	-817997.865667267
0.005	6750	-817996.801531186
0.005	6800	-817995.745412249
0.005	6850	-817994.697191222
0.005	6900	-817993.656751556
0.005	6950	-817992.623979208
0.005	7000	-817991.598762654
0.005	7050	-817990.58099276
0.005	7100	-817989.570562737
0.005	7150	-817988.567368069
0.005	7200	-817987.571306467
0.005	7250	-817986.582277783
0.005	7300	-817985.600183933
0.005	7350	-817984.62492891
0.005	7400	-817983.656418664
0.005	7450	-817982.694561048
0.005	7500	-817981.739265805
0.005	7550	-817980.790444504
0.005	7600	-817979.848010476
0.005	7650	-817978.911878776
0.005	7700	-817977.981966154
0.005	7750	-817977.058190957
0.005	7800	-817976.140473171
0.005	7850	-817975.228734302
0.005	7900	-817974.322897387
0.005	7950	-817973.422886933
0.005	8000	-817972.528628866
0.005	8050	-817971.640050526
0.005	8100	-817970.757080636
0.005	8150	-817969.879649211
0.005	8200	-817969.007687597
0.005	8250	-817968.141128388
0.005	8300	-817967.27990543
0.005	8350	-817966.423953748
0.005	8400	-817965.573209564
0.005	8450	-817964.727610243
0.005	8500	-817963.887094282
0.005	8550	-817963.051601253
0.005	8600	-817962.221071808
0.005	8650	-817961.39544763
0.005	8700	-817960.574671451
0.005	8750	-817959.758686966
0.005	8800	-817958.947438856
0.005	8850	-817958.140872752
0.005	8900	-817957.338935208
0.005	8950	-817956.5415737
0.005	9000	-817955.748736579
0.005	9050	-817954.960373066
0.005	9100	-817954.176433242
0.005	9150	-817953.396867997
0.005	9200	-817952.621629046
0.005	9250	-817951.850668888
0.005	9300	-817951.083940814
0.005	9350	-817950.321398848
0.005	9400	-817949.562997794
0.005	9450	-817948.808693153
0.005	9500	-817948.058441142
0.005	9550	-817947.312198699
0.005	9600	-817946.569923399
0.005	9650	-817945.831573527
0.005	9700	-817945.097107999
0.005	9750	-817944.366486391
0.005	9800	-817943.639668875
0.005	9850	-817942.916616254
0.005	9900	-817942.197289946
0.005	9950	-817941.481651939
0.005	10000	-817940.769664798
0.005	10050	-817940.061291666
0.005	10100	-817939.356496235
0.005	10150	-817938.655242742
0.005	10200	-817937.957495955
0.005	10250	-817937.263221151
0.005	10300	-817936.57238414
0.005	10350	-817935.884951225
0.005	10400	-817935.200889191
0.005	10450	-817934.520165336
0.005	10500	-817933.842747394
0.005	10550	-817933.168603595
0.005	10600	-817932.497702583
0.005	10650	-817931.830013503
0.005	10700	-817931.16550589
0.005	10750	-817930.504149743
0.005	10800	-817929.845915453
0.005	10850	-817929.190773863
0.005	10900	-817928.538696182
0.005	10950	-817927.889654038
0.005	11000	-817927.243619464
0.005	11050	-817926.600564838
