"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","1","2","3","6","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","26"
"2","1","2","3","4","5","9","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"3","4","2","3","4","5","6","1","8","10","10","11","12","13","14","15","16","17","18","19","20","21","22","22","23","24","25","26"
"4","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"5","5","2","5","4","5","6","1","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"6","4","2","8","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"7","5","2","3","4","5","6","1","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","22","23","24","25","25"
"8","1","2","3","4","5","5","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"9","5","2","3","6","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"10","1","2","3","4","5","6","1","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"11","5","2","3","4","5","6","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"12","1","2","3","4","5","2","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","26"
"13","1","3","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","22","24","24","25","25"
"14","1","2","3","4","5","5","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","26"
"15","1","2","3","6","5","5","7","8","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"16","8","2","8","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","25","25"
"17","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","22","23","24","25","25"
