"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","1","2","3","10","5","6","7","8","9","10","9","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2","1","3","3","3","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"3","1","2","3","5","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"4","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"5","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"6","1","2","3","4","5","6","9","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"7","1","2","3","4","5","6","7","8","9","10","10","12","13","14","15","16","17","18","19","20","21","22","23","24"
"8","6","2","3","4","3","6","7","6","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"9","1","2","3","4","5","2","3","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"10","1","2","3","4","1","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"11","1","2","3","7","5","4","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23"
"12","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"13","1","2","3","5","5","6","6","6","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"14","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"15","5","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"16","1","2","3","4","5","6","7","8","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"17","1","2","3","4","5","6","7","8","9","10","11","11","13","14","15","16","17","18","19","20","21","22","23","24"
"18","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"19","8","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"22","1","2","3","8","2","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"23","8","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"24","1","2","3","4","5","5","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"25","1","2","3","4","5","1","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"26","10","2","3","4","5","6","5","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"27","9","10","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"28","1","2","2","4","5","6","7","8","10","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"29","1","5","3","4","3","9","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"30","1","2","3","3","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"31","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"32","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"33","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"34","1","3","3","5","3","6","7","8","8","11","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"35","10","5","3","4","5","6","7","10","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"36","1","2","3","4","5","8","3","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"37","1","8","3","4","5","6","7","7","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"38","1","2","3","4","5","6","8","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"39","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"40","1","2","7","4","10","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"41","1","2","3","5","9","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"42","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"43","1","2","5","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"44","1","2","3","4","7","1","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"45","1","8","3","4","1","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"46","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"47","1","2","3","4","9","3","3","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"48","1","2","4","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"49","1","2","3","4","5","6","1","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"50","10","2","5","4","5","10","7","8","6","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
