"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","5","5","3","8","8","6","5","3","2","10","11","12","13","14","15","16","17","18","19","20","20","24","26","26","26","26"
"2","5","10","3","7","5","4","9","4","7","11","8","11","13","14","15","16","17","18","19","20","21","22","26","26","26","26"
"3","9","4","3","11","3","4","4","9","8","10","9","12","13","14","15","16","17","17","19","20","20","24","26","26","26","26"
"4","10","2","1","11","2","8","8","4","5","10","12","5","13","14","15","16","17","19","19","20","20","23","24","26","26","26"
"5","6","5","9","4","10","2","7","8","9","10","11","11","13","13","15","16","17","18","19","20","21","26","26","26","26","26"
"6","1","5","11","7","4","5","1","7","12","1","11","11","13","14","15","16","17","18","19","20","21","22","22","26","26","26"
"7","10","8","1","8","2","10","7","2","11","12","11","9","13","14","15","16","17","18","20","21","23","22","26","26","26","26"
"8","1","10","1","1","9","5","7","4","3","10","11","13","13","14","15","16","17","18","19","20","21","23","22","24","26","26"
"9","2","9","5","4","5","9","9","7","2","5","9","12","13","14","15","16","17","18","19","20","20","23","26","26","26","26"
"10","1","9","3","2","7","2","3","6","9","1","11","13","13","14","15","16","17","18","20","20","21","26","26","26","26","26"
"11","6","2","3","4","11","6","4","4","9","4","11","12","13","14","15","16","17","18","19","20","21","21","26","26","26","26"
"12","1","9","4","3","5","10","10","1","11","1","1","12","13","14","15","16","17","18","19","20","21","22","26","26","26","26"
"13","2","6","3","2","2","6","1","8","3","10","3","13","13","14","15","16","17","17","19","20","21","26","24","26","26","26"
"14","11","2","3","3","5","5","7","6","4","10","11","12","13","14","15","16","17","18","18","20","21","23","23","26","26","26"
"15","3","2","1","4","5","6","11","7","12","10","12","12","13","14","15","16","17","18","19","20","21","22","26","26","26","26"
"16","2","10","3","11","10","7","4","1","2","3","11","12","13","14","15","16","17","18","19","20","21","22","23","26","26","26"
"17","8","5","9","9","4","8","3","2","11","12","8","12","12","14","15","16","17","18","19","20","22","23","23","26","26","26"
"18","10","8","3","4","9","6","9","7","1","6","11","9","13","14","15","16","17","18","19","19","20","21","26","26","26","26"
"19","1","8","5","8","7","6","7","8","9","10","4","12","13","14","15","16","17","18","19","20","21","22","24","26","26","26"
"20","1","9","3","4","5","10","2","8","1","6","2","11","13","14","15","16","17","18","19","20","21","22","24","26","26","26"
"21","1","8","6","8","10","3","9","4","9","1","5","12","13","14","15","16","17","18","19","20","21","22","24","26","26","26"
"22","8","2","3","4","10","3","7","9","7","2","11","12","13","14","15","16","17","18","19","20","21","22","26","26","26","26"
"23","12","1","9","8","7","6","2","8","9","8","8","9","13","14","15","16","17","18","19","20","20","22","26","26","26","26"
"24","8","8","8","4","5","11","1","2","8","10","2","12","12","14","15","16","17","18","19","20","21","26","26","26","26","26"
"25","1","6","3","1","9","7","7","8","9","12","12","12","13","14","15","16","17","18","20","20","21","22","26","26","26","26"
"26","7","9","3","5","5","4","12","7","11","4","10","7","13","14","15","16","17","18","20","21","20","26","26","26","26","26"
"27","8","2","3","5","5","6","4","2","9","10","11","12","12","14","15","16","17","18","19","20","22","26","26","26","26","26"
"28","5","3","7","9","8","8","2","1","9","11","4","12","13","14","14","16","17","18","19","20","21","22","24","26","26","26"
"29","3","2","3","8","9","1","2","9","4","10","2","12","13","14","15","16","17","18","18","20","21","23","24","26","26","26"
"30","4","2","10","4","5","6","6","10","9","12","11","11","12","14","15","16","17","19","19","20","21","22","22","22","26","26"
"31","1","2","9","11","9","4","10","5","2","2","12","12","13","14","15","16","17","18","19","20","21","22","26","26","26","26"
"32","1","9","10","4","1","1","3","8","9","8","5","12","13","14","15","16","17","18","19","21","21","22","26","26","26","26"
"33","6","8","8","4","2","3","9","5","9","12","3","12","13","14","15","16","17","18","19","21","20","22","26","26","26","26"
"34","10","2","3","4","5","9","5","9","6","10","2","12","13","14","15","16","17","18","19","20","21","22","26","22","26","26"
"35","5","9","5","4","11","3","7","5","10","5","11","12","13","14","15","16","17","18","19","20","20","22","24","26","26","26"
"36","7","10","4","5","3","6","6","5","9","9","10","12","12","14","15","16","17","18","19","20","21","22","23","26","26","26"
"37","1","2","6","6","5","3","3","1","5","10","11","11","13","14","15","16","17","18","19","20","21","22","23","26","26","26"
"38","8","2","5","4","3","1","12","8","6","12","9","12","13","14","15","16","17","18","19","20","21","22","23","24","26","26"
"39","2","7","11","1","11","6","8","5","8","5","12","12","13","15","15","16","17","18","20","21","21","22","26","26","26","26"
"40","1","4","3","3","6","12","11","5","3","5","11","12","13","14","15","16","17","18","19","20","21","26","23","24","26","26"
"41","1","4","3","3","2","6","10","8","4","8","11","13","13","14","15","16","17","18","19","20","21","23","24","26","26","26"
"42","1","8","5","8","3","5","9","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","26","26","26","26"
"43","3","2","1","8","3","6","2","2","4","8","11","12","13","14","15","16","17","18","19","21","21","22","22","26","26","26"
"44","6","2","6","4","3","10","8","4","6","1","12","9","13","14","15","16","17","18","19","20","21","22","22","26","26","26"
"45","3","3","7","4","10","3","7","2","1","3","5","12","13","14","15","16","17","18","19","20","21","22","26","26","26","26"
"46","11","2","3","6","5","1","6","8","10","11","5","8","13","14","15","16","17","18","19","20","22","24","22","26","26","26"
"47","5","5","11","10","12","11","8","10","9","7","3","12","13","14","15","16","17","18","19","21","21","21","26","26","26","26"
"48","1","2","3","5","8","4","2","6","9","11","11","11","13","14","15","16","17","18","19","20","21","21","26","23","26","26"
"49","7","1","3","9","11","4","8","4","1","3","11","7","12","14","15","16","17","18","19","20","21","22","26","26","26","26"
"50","10","10","3","4","5","5","4","8","5","1","2","11","13","14","15","16","17","18","19","20","21","22","22","26","26","26"
