"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"2","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"3","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"4","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"5","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"6","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","23","24","24","24"
"7","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"8","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"9","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"10","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"11","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"12","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","23","24","24","24"
"13","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"14","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"15","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"16","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"17","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"18","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"19","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
"20","14","14","14","14","14","14","14","14","14","14","14","14","14","15","16","17","18","19","20","21","22","22","23","24","24","24","24"
