"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",9.81120190861657e-09,9.70235624821119e-09,9.36262380250487e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"2",1.04328082002476e-08,1.01921740982532e-08,1.02638275038817e-08,7.87915991466167e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"3",1.0024659073264e-08,1.02519352735117e-08,9.59530860905555e-09,9.91845558113531e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"4",1.15819902640502e-08,1.16548370120643e-08,1.17882075080351e-08,1.06299328599512e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"5",1.26549784739436e-08,1.2427410403784e-08,1.13644946774723e-08,1.05670562273764e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"6",1.17030849046846e-08,1.15862881981477e-08,1.30569561124992e-08,1.17766504075907e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"7",1.36959038237628e-08,1.37413203845583e-08,1.36247080831475e-08,1.38831241794581e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"8",1.19526871901025e-08,1.22201055140316e-08,1.25581663835041e-08,1.24517503393679e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"9",1.28284818105249e-08,1.28171399676677e-08,1.27579263038095e-08,1.45364955888189e-08,7.38171371618137e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"10",1.28133472213713e-08,1.27484136838553e-08,1.26278287554149e-08,1.2340153565249e-08,7.79699218071651e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"11",1.5560605005493e-08,1.51998857549365e-08,1.48549247948363e-08,1.34963410196161e-08,1.10053489971992e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"12",1.86286236320144e-08,1.90604629506826e-08,1.87552834490543e-08,1.72471469909843e-08,1.44573958122604e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"13",2.09635039480078e-08,2.09812391498052e-08,2.09698446960679e-08,1.93531721426405e-08,1.71042671080229e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"14",2.17204115925475e-08,2.17340077553666e-08,2.16182180307182e-08,2.32305065072633e-08,1.83780227891476e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"15",3.03532984044363e-08,3.028108867426e-08,2.96584199012966e-08,2.4565282923165e-08,1.90377328260075e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"16",4.19762661606509e-08,4.20034841123479e-08,4.27151937696202e-08,4.19318056996749e-08,2.64053729871895e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"17",5.88450439442772e-08,5.87862810152177e-08,5.68395464070055e-08,5.2497794194985e-08,3.45933888053441e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"18",1.37370412267448e-07,1.37418585583659e-07,1.35121672452104e-07,1.26480967305423e-07,6.97906961450362e-08,8.8508765987534e-09,7.38003785369016e-09,7.38003785369016e-09
"19",5.49916886398736e-07,5.49286203707202e-07,5.46280969409428e-07,4.7060949356526e-07,1.98638737999315e-07,5.80608502004662e-08,7.38003785369016e-09,7.38003785369016e-09
"20",2.7817549337572e-05,2.78182903123087e-05,2.78265694111468e-05,2.79296082049299e-05,2.83467535596003e-05,2.86380111614843e-05,2.86901628125761e-05,2.86901628125761e-05
"21",0.999971309837187,0.999971309837187,0.999971309837187,0.999971309837187,0.999971309837187,0.999971309837187,0.999971309837187,0.999971309837187
