"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",6.47757711094981e-07,6.0466082916928e-07,5.15163014279724e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"2",6.41112802494492e-07,6.50166635719104e-07,6.7348070011897e-07,1.60806963938938e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"3",6.17869581648411e-07,6.00456393498483e-07,5.54400163181188e-07,5.70256789622604e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"4",7.77601052822717e-07,8.14986145761155e-07,8.23418700607598e-07,7.33808985778559e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"5",8.24621751153525e-07,8.00490587933129e-07,7.70495586913278e-07,7.63951968266199e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"6",8.17304455910319e-07,8.03010509775597e-07,8.12327763623942e-07,8.56563437212511e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"7",1.03553952882537e-06,1.06259397103791e-06,1.09289963531173e-06,9.31707991614034e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"8",9.96500845730611e-07,1.0010634503874e-06,1.02059950020333e-06,1.0691046615678e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"9",1.02900151905396e-06,1.0210144405725e-06,1.01545987046052e-06,1.1530008847082e-06,9.63914006764462e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"10",1.19152675206665e-06,1.18198583248955e-06,1.16509569986226e-06,1.08872055436377e-06,1.08175666962635e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"11",1.372383749876e-06,1.38216272441594e-06,1.38425765349366e-06,1.30843805451563e-06,8.31801298926349e-07,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"12",1.67643547304155e-06,1.68109784136913e-06,1.62325291524383e-06,1.59634039124938e-06,1.46087104884713e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"13",1.75673025069269e-06,1.7503318027068e-06,1.76990292525496e-06,1.75453162170983e-06,1.67821070909955e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"14",2.26334592218129e-06,2.27303413774192e-06,2.27330543597236e-06,2.22634231995633e-06,1.98868263121751e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"15",2.84903678352847e-06,2.84889370683442e-06,2.82358987071823e-06,2.72460939554376e-06,2.35052925078436e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"16",3.73679302755401e-06,3.72624206379444e-06,3.73199219414636e-06,3.75477624903015e-06,2.85010345107032e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"17",5.72628198082573e-06,5.7190749546863e-06,5.6837595360156e-06,5.11983612959914e-06,4.1190079997197e-06,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"18",1.17512516375675e-05,1.17587853479233e-05,1.15744134672689e-05,1.09311099345764e-05,7.13815772840951e-06,1.96463924311351e-07,7.38003785369016e-09,7.38003785369016e-09
"19",3.94479348787607e-05,3.93977743628824e-05,3.92005067816605e-05,3.57929210087698e-05,1.85761794632819e-05,8.38854108451748e-06,7.38003785369016e-09,7.38003785369016e-09
"20",0.000363079872797643,0.000363161076763773,0.000363730581088136,0.000369694695122596,0.000401068503811257,0.000433528436850131,0.000442098681783252,0.000442098681783252
"21",0.999557901318217,0.999557901318217,0.999557901318217,0.999557901318217,0.999557901318217,0.999557901318217,0.999557901318217,0.999557901318217
