alpha,k,row
0.18,850,8417
0.18,850,8417
0.18,850,8417
0.175,950,8179
0.18,850,8417
0.18,850,8417
0.18,850,8417
0.18,800,8416
0.185,800,8656
0.18,850,8417
0.18,850,8417
0.175,950,8179
0.18,900,8418
0.185,750,8655
0.175,950,8179
0.18,850,8417
0.185,800,8656
0.18,900,8418
0.175,1000,8180
0.18,850,8417
0.185,750,8655
0.18,900,8418
0.185,750,8655
0.18,850,8417
0.18,900,8418
0.19,700,8894
0.175,950,8179
0.18,900,8418
0.185,700,8654
0.185,750,8655
0.18,800,8416
0.185,750,8655
0.185,750,8655
0.18,850,8417
0.175,1000,8180
0.175,900,8178
0.185,750,8655
0.185,800,8656
0.18,850,8417
0.185,750,8655
0.18,800,8416
0.175,900,8178
0.185,750,8655
0.185,750,8655
0.185,800,8656
0.185,750,8655
0.175,900,8178
0.185,750,8655
0.185,700,8654
0.185,750,8655
