"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","1","2","5","6","5","6","7","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"2","1","2","1","4","5","2","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"3","1","2","3","4","5","6","8","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"4","1","2","3","4","6","8","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"5","5","2","5","4","5","6","4","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"6","4","2","3","4","5","6","1","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"7","1","2","3","4","5","6","2","10","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"8","1","2","3","4","5","5","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"9","1","2","3","6","5","5","3","10","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"10","1","2","3","4","5","5","9","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"11","1","2","5","4","5","6","5","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"12","1","2","5","4","6","8","6","8","8","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"13","1","2","3","4","5","6","7","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"14","1","2","3","4","5","5","7","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"15","1","2","3","4","5","6","5","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"16","1","2","3","4","6","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"17","1","2","5","6","6","6","8","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"18","1","2","5","4","1","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"19","1","2","3","4","3","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"20","1","2","3","4","5","6","3","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"21","1","2","5","4","5","5","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"22","1","2","4","4","5","6","8","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"23","1","2","3","8","5","6","2","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"24","1","2","3","4","5","6","9","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"25","1","5","4","4","1","5","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"26","1","2","8","4","5","6","7","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"27","1","2","3","6","5","6","5","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"28","5","2","3","4","5","6","8","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"29","1","2","2","4","6","5","6","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"30","5","2","3","4","4","6","4","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"31","1","2","4","4","5","5","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"32","1","5","3","1","5","2","1","10","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"33","1","2","3","4","5","5","7","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"34","1","2","5","4","3","5","7","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"35","1","2","3","4","5","6","8","7","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"36","1","2","3","8","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"37","1","2","2","4","5","5","5","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"38","1","2","8","4","5","6","7","6","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"39","1","2","8","2","5","5","7","8","6","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"40","1","5","3","4","1","6","1","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"41","1","2","3","4","6","5","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"42","1","2","5","4","3","5","5","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"43","1","2","5","4","5","6","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"44","1","2","5","4","5","5","6","1","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"45","1","2","4","4","4","5","7","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"46","1","2","5","4","5","6","1","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"47","1","2","2","4","5","6","7","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"48","1","2","5","4","5","5","6","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"49","1","3","5","4","5","7","6","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"50","1","2","5","5","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
