"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","1","1","3","4","6","6","7","8","9","1","11","12","13","14","15","16","17","18","19","20","21","22","23","26","24","26","25"
"2","2","2","3","4","5","6","7","8","8","10","8","12","13","14","15","16","17","18","19","20","21","22","24","26","24","24","24"
"3","1","1","3","4","5","6","1","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"4","1","2","5","4","2","6","7","4","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","26","24","24","24"
"5","6","7","3","2","9","6","8","3","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","24","24"
"6","10","2","5","4","10","6","7","8","9","6","11","12","13","14","15","16","17","18","19","20","21","22","22","24","25","24","25"
"7","1","2","7","4","5","6","10","8","2","10","11","12","13","14","15","16","17","18","19","20","21","22","23","26","24","25","26"
"8","2","2","3","4","2","6","9","2","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","24","26"
"9","1","1","7","4","5","6","5","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24","26"
"10","1","5","3","4","5","6","7","1","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","26","25","26","26"
"11","1","2","5","4","5","6","7","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","24","25","24"
"12","1","3","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","26"
"13","10","5","3","4","5","5","7","4","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","26"
"14","1","4","2","4","5","6","7","6","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","23","24","26"
"15","1","2","6","2","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","26"
"16","1","2","3","4","5","6","9","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","26"
"17","1","2","3","5","6","6","4","2","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","26"
"18","1","2","3","2","5","6","7","8","9","10","10","12","13","14","15","16","17","18","19","20","21","22","24","26","25","25","26"
"19","3","2","3","6","4","10","7","4","1","10","11","12","13","14","15","16","17","18","19","20","21","22","23","26","24","25","26"
"20","1","2","3","4","6","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","26","25","24"
"21","1","2","3","5","5","6","7","8","5","10","11","12","13","14","15","16","17","18","19","20","21","22","23","26","26","24","26"
"22","1","5","8","8","9","8","7","8","9","1","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","24","26"
"23","1","6","8","4","5","6","9","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","26","24","24","26"
"24","1","2","3","2","5","6","9","8","3","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","26"
"25","1","2","8","4","6","6","2","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","26","25","24","26"
"26","9","2","4","4","2","6","2","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24","26"
"27","1","5","10","6","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","23","24","26","24","25","26"
"28","6","8","3","4","4","6","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","25","26"
"29","1","2","3","10","3","6","2","8","9","10","8","12","13","14","15","16","17","18","19","20","21","22","23","24","24","26","26"
"30","1","2","8","4","5","6","1","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24","24"
"31","1","8","3","5","6","4","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","26","24"
"32","1","3","3","4","4","6","8","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","26"
"33","3","2","3","2","5","6","7","7","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","25","24"
"34","1","2","3","4","5","5","5","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","26","26"
"35","1","2","5","10","5","6","2","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","23","26","26"
"36","1","6","3","4","5","6","7","8","10","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","24","26","26"
"37","1","5","5","4","5","1","7","8","6","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"38","1","2","2","4","5","6","7","1","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","26","24","26","25"
"39","1","2","3","6","2","5","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","22","24","24","24","26"
"40","1","2","9","4","7","5","7","2","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","26"
"41","1","2","3","6","5","6","9","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","23","24","25","24"
"42","7","2","3","6","2","8","6","8","4","2","11","12","13","14","15","16","17","18","19","20","21","22","23","23","25","25","25"
"43","2","2","3","10","5","6","7","8","8","10","10","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","26"
"44","1","2","3","4","5","6","7","8","9","6","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"45","1","1","3","4","5","8","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","26","24","26","26"
"46","1","10","3","4","5","5","7","5","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","25","24","26"
"47","1","2","8","9","5","6","7","8","6","10","11","12","13","14","15","16","17","18","19","20","21","22","24","26","24","26","24"
"48","1","5","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","26"
"49","1","2","1","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","25","25"
"50","1","9","3","4","5","6","7","4","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","25","24","25"
