"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","3","5","3","8","8","6","7","6","1","10","11","12","13","14","15","16","17","18","19","20","20","23","24","24","24","24"
"2","5","10","3","4","5","4","11","8","7","11","12","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"3","9","8","3","10","5","11","4","9","8","10","11","12","13","14","15","16","17","17","19","20","21","24","24","24","24","24"
"4","10","3","2","11","2","6","8","8","6","10","11","5","13","14","15","16","17","19","19","20","20","23","23","24","24","24"
"5","2","5","5","4","7","8","7","8","9","12","11","11","13","13","15","16","17","18","19","20","21","24","24","24","24","24"
"6","1","2","11","4","5","5","5","8","12","1","11","11","13","14","15","16","17","18","19","20","21","22","22","24","24","24"
"7","10","7","1","8","2","10","7","8","11","11","11","11","13","14","15","16","17","18","20","21","22","22","24","24","24","24"
"8","1","2","1","1","9","5","7","4","3","10","11","13","13","14","15","16","17","18","19","20","21","23","22","23","24","24"
"9","2","9","1","4","5","8","7","6","9","4","12","12","13","14","15","16","17","18","19","20","21","23","24","24","24","24"
"10","1","2","3","10","3","2","3","6","9","1","11","13","13","14","15","16","17","18","20","20","21","24","24","24","24","24"
"11","7","2","3","4","11","6","2","2","11","12","11","12","13","14","15","16","17","18","19","20","21","21","24","24","24","24"
"12","1","2","4","8","5","10","10","8","11","10","1","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"13","2","6","3","4","2","9","5","8","3","10","5","13","13","14","15","16","17","18","19","20","21","24","24","24","24","24"
"14","11","2","10","2","5","6","7","5","3","10","11","12","13","14","15","16","17","18","18","20","21","23","23","24","24","24"
"15","6","2","3","5","5","6","11","8","9","10","12","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"16","5","3","3","11","10","6","4","6","9","3","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24"
"17","8","6","9","3","4","9","3","6","9","10","12","12","13","14","15","16","17","18","19","20","21","23","23","24","24","24"
"18","10","2","1","4","9","6","7","7","10","7","11","9","14","14","15","16","17","18","19","19","20","22","24","24","24","24"
"19","1","9","3","8","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24"
"20","1","9","3","6","5","6","5","8","9","6","11","12","13","14","15","16","17","18","19","20","21","23","24","24","24","24"
"21","1","9","9","4","5","6","7","8","9","9","8","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"22","8","2","3","4","4","6","7","9","7","3","11","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"23","11","2","4","4","7","6","5","8","10","8","11","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"24","8","9","7","6","5","11","1","8","8","10","9","11","13","14","15","16","17","18","19","20","21","24","24","24","24","24"
"25","1","6","3","1","8","6","7","8","9","11","12","12","13","14","15","16","17","18","20","20","21","22","24","24","24","24"
"26","7","2","8","5","5","4","12","1","11","4","10","7","13","14","15","16","17","18","19","21","21","24","24","24","24","24"
"27","8","7","9","3","5","6","7","8","11","10","11","12","13","14","15","16","17","18","19","20","22","24","24","24","24","24"
"28","5","5","3","8","9","8","5","1","5","10","11","12","13","14","14","16","17","18","19","20","21","22","23","24","24","24"
"29","1","2","3","10","9","1","4","9","8","10","8","12","13","14","15","16","17","18","19","20","21","23","23","24","24","24"
"30","1","2","11","4","5","6","2","11","9","12","11","12","12","14","15","16","17","19","19","20","21","22","23","23","24","24"
"31","1","2","11","10","9","4","10","5","2","6","12","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"32","1","11","8","4","7","1","6","8","11","10","10","12","13","14","15","16","17","18","19","21","21","22","24","24","24","24"
"33","1","6","8","4","5","3","7","1","9","11","5","12","13","14","15","16","17","18","19","21","20","22","24","24","24","24"
"34","10","2","3","4","5","2","5","8","4","10","8","12","13","14","15","16","17","18","19","20","21","22","24","22","24","24"
"35","1","9","6","4","11","6","7","5","10","5","11","12","13","14","15","16","17","18","19","20","20","23","23","24","24","24"
"36","11","10","4","5","3","6","6","5","11","1","2","12","12","14","15","16","17","18","19","20","21","22","23","24","24","24"
"37","1","1","3","6","5","3","3","8","6","2","11","11","13","14","15","16","17","18","19","20","21","22","23","24","24","24"
"38","3","2","4","4","3","1","12","10","11","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24"
"39","5","7","1","1","11","6","5","4","9","5","12","13","13","15","15","16","17","18","20","20","21","22","24","24","24","24"
"40","4","2","3","3","5","12","10","1","3","1","11","12","13","14","15","16","17","18","19","20","21","24","23","24","24","24"
"41","1","2","3","7","2","9","6","8","7","6","7","13","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"42","1","5","5","2","3","5","7","1","9","10","7","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"43","6","12","5","4","5","6","3","9","8","8","11","12","13","14","15","16","17","18","19","21","21","22","22","24","24","24"
"44","9","2","9","4","5","4","10","8","11","10","12","9","13","14","15","16","17","18","19","19","21","22","23","24","24","24"
"45","1","8","3","4","5","3","7","8","9","3","5","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"46","11","2","3","10","5","1","6","8","4","11","8","11","13","14","15","16","17","18","19","20","22","23","23","24","24","24"
"47","1","5","1","10","12","4","8","10","5","8","3","12","13","14","15","16","17","18","19","20","21","21","24","24","24","24"
"48","1","2","3","5","9","7","4","5","9","11","11","11","13","14","15","16","17","18","19","20","21","22","24","23","24","24"
"49","2","1","3","9","6","4","8","8","11","3","11","7","13","14","15","16","17","18","19","20","21","22","24","24","24","24"
"50","10","10","3","4","5","5","7","8","9","1","2","12","13","14","15","16","17","18","19","20","21","21","22","24","24","24"
