"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1","1","1","3","4","6","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"2","2","2","3","4","5","6","7","8","9","10","9","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"3","1","2","3","4","5","6","1","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","24","24"
"4","1","2","3","4","1","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"5","1","7","3","7","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"6","1","2","3","4","10","6","4","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","22","24","24","24","24"
"7","1","2","7","4","5","6","7","8","2","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"8","1","2","3","4","1","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"9","1","2","7","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"11","10","2","5","4","5","6","7","9","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"12","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"13","1","2","3","4","5","8","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"14","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","23","24","24"
"15","1","2","3","2","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"17","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"18","1","2","3","6","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"19","3","2","3","6","4","6","7","4","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"20","1","2","3","4","6","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"22","1","3","8","4","9","6","7","8","9","1","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"23","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","24","24","24","24","24"
"24","1","2","3","5","5","6","2","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","24","24"
"25","1","2","3","4","5","6","2","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"26","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","23","24","24","24"
"27","1","2","3","9","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"28","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"29","1","2","3","10","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"30","1","2","8","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
"31","1","3","3","4","6","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","24","24","24"
