"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",562,553,614,598,607,586,616,573,557,598,571,553,588,555,578,565,626,603,616,584,605,651,617,651,605,581,586,608,603,593,575,566,643,598,575,602,554,591,582,607,566,603,578,576,599,603,591,648,563,603
"2",631,594,607,584,580,589,568,565,615,558,556,583,561,597,571,611,532,558,630,584,584,576,589,584,589,583,600,556,589,598,581,546,557,603,587,641,604,555,586,558,584,622,611,563,630,585,598,595,570,641
"3",594,624,553,566,568,622,573,613,598,595,600,605,574,604,562,604,573,556,588,542,610,590,609,577,602,612,593,574,592,590,649,576,628,545,603,585,546,548,626,596,596,577,627,610,587,562,626,562,624,603
"4",581,613,612,575,590,613,601,584,561,581,587,590,580,541,616,575,558,583,601,554,592,604,592,554,568,586,585,605,599,604,543,535,583,569,561,639,577,590,566,557,611,623,565,604,581,612,589,593,565,567
"5",553,569,563,584,561,592,570,612,555,589,576,569,592,562,547,612,589,609,538,610,595,609,617,573,582,559,579,594,586,610,600,610,611,594,624,581,549,638,541,620,586,638,563,542,600,599,609,551,581,601
"6",557,615,617,604,565,589,608,571,570,559,581,578,588,592,557,567,560,574,581,584,576,596,569,550,567,574,569,620,581,575,624,607,583,563,596,559,586,573,575,626,582,576,589,590,523,622,559,565,574,559
"7",558,595,576,590,555,606,534,589,571,585,607,596,606,588,585,599,543,579,588,622,571,598,622,586,564,591,576,622,609,545,601,588,571,563,588,625,582,591,622,617,603,571,565,600,593,562,590,609,591,581
"8",545,583,559,583,594,576,566,639,529,572,599,592,612,562,576,595,561,588,571,537,565,547,566,538,635,610,584,607,597,566,608,646,607,606,592,601,633,572,618,607,551,607,595,577,584,612,542,562,577,609
"9",524,586,577,594,592,558,599,588,580,601,561,572,561,576,575,562,560,569,590,611,592,539,575,575,630,517,533,531,571,591,554,569,609,596,578,569,594,546,620,549,600,595,571,566,589,578,531,543,586,572
"10",581,565,587,579,535,580,585,565,531,580,524,552,574,614,578,592,542,569,604,602,555,532,618,545,552,591,521,521,581,546,551,561,552,585,566,576,577,542,566,562,557,571,543,574,550,551,556,571,562,593
"11",534,577,546,520,529,562,543,550,557,577,534,528,545,543,571,517,577,532,545,576,574,601,586,551,516,608,560,545,576,579,555,533,576,576,573,535,555,547,570,548,514,514,562,605,530,574,536,559,579,579
"12",571,515,499,560,522,522,523,537,542,546,549,564,542,548,520,571,508,533,603,528,490,528,538,538,501,521,534,532,477,492,564,523,498,542,562,557,588,515,543,530,481,547,561,518,548,510,601,532,521,488
"13",513,510,519,501,486,486,533,486,482,551,478,482,512,489,472,481,493,525,486,499,480,454,511,486,508,532,493,492,481,462,489,463,492,499,482,500,519,510,499,448,501,471,473,477,533,484,525,478,467,508
"14",429,467,404,443,422,451,428,437,421,440,435,433,433,433,426,419,457,457,477,445,436,444,420,434,425,493,456,404,422,467,463,429,430,430,429,420,440,433,452,464,429,437,404,470,443,441,433,399,428,450
"15",403,403,371,351,336,379,364,375,403,340,354,365,374,354,406,409,397,368,350,351,359,392,371,365,340,365,376,367,409,409,373,355,348,361,354,359,365,365,388,398,346,357,403,354,409,371,362,373,340,364
"16",297,293,281,306,307,321,292,290,282,324,301,298,295,299,314,295,314,304,310,292,325,310,278,298,285,315,287,283,301,314,291,312,282,304,305,291,289,315,289,300,323,290,293,304,278,298,316,316,315,274
"17",254,256,218,244,249,255,222,245,218,238,253,257,256,218,277,253,262,252,226,232,274,253,258,238,258,248,226,244,254,228,257,254,270,240,240,242,255,256,261,261,233,234,253,216,239,229,274,301,256,244
"18",194,179,193,189,161,197,173,185,179,197,177,192,209,188,176,166,155,170,185,180,206,201,182,199,179,205,182,192,204,177,190,185,176,168,242,171,216,193,192,186,182,218,203,189,180,207,191,173,203,165
"19",149,142,139,135,162,137,140,130,156,157,123,159,127,142,175,142,134,139,139,139,136,126,139,131,157,136,152,128,147,142,149,170,144,160,122,160,153,128,145,132,132,142,165,160,148,120,153,142,158,153
"20",100,117,106,109,100,95,84,100,110,94,112,91,114,107,105,84,89,94,97,106,102,102,100,106,101,103,101,106,93,96,122,93,99,93,99,88,102,101,111,97,109,99,100,107,100,109,88,92,102,110
"21",77,64,76,76,56,66,89,66,70,68,77,71,52,76,57,71,66,67,81,54,56,73,76,69,79,76,66,76,79,75,77,55,62,58,67,65,70,75,75,57,51,82,57,69,64,74,58,68,69,66
"22",50,52,43,41,42,52,46,56,41,48,46,33,47,49,52,36,45,33,53,44,35,37,46,38,40,40,48,43,44,40,37,36,40,39,44,38,57,46,62,49,44,48,49,52,39,38,43,51,35,39
"23",34,30,30,28,24,31,18,25,30,33,16,32,28,22,30,27,29,29,31,31,22,23,29,23,19,24,31,26,31,41,34,33,30,35,33,31,30,29,33,31,28,27,26,27,29,28,24,16,34,25
"24",19,13,25,20,13,15,15,11,24,19,18,15,15,11,14,18,14,12,15,16,16,22,16,8,17,20,10,12,15,21,19,12,16,13,18,20,23,9,17,9,21,16,24,13,10,10,21,13,12,16
"25",11,12,14,6,6,11,12,6,10,9,8,12,15,10,14,7,8,14,6,11,6,11,10,6,22,12,4,11,12,4,9,11,7,15,13,11,11,8,7,7,13,9,8,10,8,7,7,11,10,5
"26",6,4,5,2,5,5,3,5,5,5,4,4,9,9,6,5,6,4,3,4,7,4,4,5,5,6,5,7,5,12,7,7,5,7,7,10,7,2,7,9,5,5,4,9,7,15,5,4,8,6
