"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",58872,59096,58930,59189,58672,59135,58999,59240,59562,58652,58541,58932,58973,58855,58789,59131,59460,58791,58536,58659,59190,59235,58945,59165,58911,59110,58818,59001,59122,59069,58717,58891,59358,59331,58929,58751,58897,59384,59366,59063,59300,59083,59007,59310,58920,59070,58899,59247,58703,59331
"2",58475,58588,58318,58466,58152,58449,58996,58698,58411,58247,58254,58862,58864,58480,58181,58448,58803,58237,58831,58105,58017,58479,58569,58223,58379,58433,58693,58794,58177,58621,58434,58329,58576,58821,58660,58982,58722,58331,58746,58337,58555,58121,58404,58413,58502,58124,58141,58679,58535,58838
"3",58941,58499,58671,58903,59351,58850,59110,58656,59167,58714,59076,59311,58673,59120,59211,59349,59274,59442,59549,59244,59056,58867,59184,59078,58977,58444,59376,59124,59028,59078,59212,59305,59329,59098,58996,59112,58807,58857,59338,58809,59170,58692,58909,58914,58488,59168,59145,58787,59387,59246
"4",58201,58456,58380,58651,58212,58432,58315,58294,58306,58615,58338,58665,58672,57982,58311,58230,58335,58601,57974,58346,58217,58547,58214,58543,58082,58397,58046,58570,58324,58490,58093,58323,58067,58468,58299,58627,58370,58321,58305,58289,58432,58230,58272,58293,58064,58575,58653,58669,58466,58248
"5",58876,58353,58768,58947,58867,58568,58687,58741,58765,58605,58374,58743,58587,58602,58368,58777,58618,58636,58791,58958,58621,58953,58564,58603,58706,58589,58126,58283,58971,58547,58643,58326,58632,58379,58883,58681,58720,58960,59308,58770,58832,58955,58950,58758,58434,58687,58598,58895,58737,59132
"6",58069,58182,58077,58156,58371,58116,57815,58347,58616,58297,57884,58793,58415,58453,58319,58355,58010,58111,58264,58494,58274,58051,58412,58204,58114,58067,58456,57861,57953,58436,57920,58067,58431,58174,58227,57904,58087,58165,57957,58485,57990,58232,58371,58619,57925,58477,58637,58368,58314,58253
"7",58326,58325,58291,58458,58033,57833,58764,58058,58493,57887,58086,58320,58341,58580,58337,58251,58393,58146,58343,57925,58571,58467,58608,58136,58194,58452,57741,58391,58215,58550,58463,58055,57662,58532,58085,58250,58130,58458,58300,58233,58123,58325,58279,58280,58090,58315,58338,58268,58291,58147
"8",58396,57732,57883,58340,58331,58302,58605,58165,57790,58088,58051,57648,58302,58130,58325,57910,58335,57863,57817,58350,58462,58225,58347,58370,58452,58171,58274,57960,58103,58724,58249,58194,58365,58148,58064,58319,58575,58220,58080,57963,58429,58091,58089,57804,58136,58037,58391,58182,57865,57788
"9",57588,57410,57532,57736,57746,57851,57519,58051,57924,57556,58040,57737,57849,57770,57494,57676,57350,57232,57640,58140,58178,58076,57761,57444,57891,57836,57610,57591,57416,57753,57995,57454,57471,58153,57919,57802,57797,57192,57835,57796,57991,58007,57408,57602,57758,58022,57733,58187,57568,57427
"10",56539,56861,56494,56618,56724,56514,56578,56493,56189,56729,56730,56847,56362,56436,56656,56599,56818,56417,56459,56583,56673,56684,56712,56721,56244,56912,56655,56670,56387,56932,56615,56685,56907,57017,56621,57034,57122,56302,56705,57207,56804,56330,56611,56706,57052,56696,56912,56185,57338,56393
