"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",27,27,27,0,0,0,0,0
"2",17,17,17,0,0,0,0,0
"3",9,9,9,0,0,0,0,0
"4",11,11,11,0,0,0,0,0
"5",12,12,12,11,0,0,0,0
"6",9,9,9,17,0,0,0,0
"7",19,19,19,18,0,0,0,0
"8",15,15,15,10,0,0,0,0
"9",10,10,10,20,0,0,0,0
"10",15,15,15,15,0,0,0,0
"11",16,16,16,25,0,0,0,0
"12",23,23,23,19,0,0,0,0
"13",32,32,32,15,0,0,0,0
"14",29,29,29,27,0,0,0,0
"15",40,40,40,39,0,0,0,0
"16",48,48,48,35,0,0,0,0
"17",74,74,74,68,0,0,0,0
"18",108,108,108,111,0,0,0,0
"19",211,211,211,218,51,0,0,0
"20",1167,1167,1167,1244,1841,1892,1892,1892
"21",6773141,6773141,6773141,6773141,6773141,6773141,6773141,6773141
